player_name,nba_id,team,bpr,obpr,dbpr,box_bpr,box_obpr,box_dbpr,gp,mpg
Ja'Kobe Walter,1642266,TOR,-10.082,-7.001,-3.081,2.513,0.004,2.509,74,20.466435185185183
Josh Minott,1631169,BKN,1.013,-0.849,1.861,-1.025,-1.67,0.645,24,19.255208333333332
Gary Trent Jr.,1629018,MIL,-2.475,4.06,-6.535,-3.237,-1.298,-1.939,74,21.19076923076923
Leaky Black,1641778,WAS,-4.672,-2.395,-2.277,-3.167,-1.2,-1.967,15,28.87222222222222
Caris LeVert,1627747,DET,1.584,-1.776,3.36,0.511,-2.652,3.163,62,19.240833333333335
Luka Garza,1630568,BOS,2.372,2.481,-0.109,2.813,2.745,0.068,80,16.20169082125604
Nate Williams,1631466,GSW,-4.72,-0.835,-3.886,-4.018,-0.199,-3.819,16,17.083333333333332
Chaney Johnson,1643052,BKN,-0.671,-0.299,-0.372,-1.394,-0.965,-0.429,20,20.44607843137255
Jaxson Hayes,1629637,LAL,-2.807,2.381,-5.188,2.318,1.858,0.46,71,18.28207070707071
Lawson Lovering,1643133,MEM,-0.262,-0.113,-0.149,,,,2,24.633333333333333
Buddy Hield,1627741,GSW,-1.98,-1.704,-0.277,-1.284,-1.106,-0.178,51,17.457575757575757
Javonte Green,1629750,DET,6.284,0.825,5.459,4.936,-0.073,5.009,82,17.635162601626014
Ben Saraf,1642879,BKN,-3.051,-4.374,1.323,-4.593,-4.426,-0.167,48,20.825378787878787
Quinten Post,1642366,GSW,1.762,0.511,1.251,1.972,0.839,1.133,76,17.301990049751243
Cameron Payne,1626166,PHI,-0.823,-1.525,0.701,-1.386,-1.593,0.207,24,17.015151515151516
Jaylin Williams,1631119,OKC,0.749,-1.991,2.741,5.456,0.335,5.121,69,19.652051282051282
Gary Payton II,1627780,GSW,-6.703,-6.533,-0.17,2.616,1.498,1.118,81,15.647716894977169
Patrick Williams,1630172,CHI,-4.94,-3.231,-1.709,-3.77,-3.903,0.133,74,20.469444444444445
Sharife Cooper,1630536,WAS,-4.32,-3.762,-0.559,-2.825,-0.857,-1.968,50,17.073170731707318
Kevin Huerter,1628989,DET,0.027,-1.209,1.236,-0.181,-0.4,0.219,32,20.484666666666666
Jevon Carter,1628975,ORL,-6.117,-2.547,-3.57,-3.175,-1.544,-1.631,32,20.44
Tristan Vukcevic,1641774,WAS,-5.423,-3.377,-2.046,-4.09,-2.333,-1.757,66,13.693877551020408
Ben Sheppard,1641767,IND,-2.716,-5.817,3.101,-1.364,-1.184,-0.18,70,21.39179487179487
Jamal Shead,1642347,TOR,5.286,1.135,4.152,4.76,1.645,3.115,82,22.58882113821138
Kobe Sanders,1642920,LAC,1.283,-4.379,5.662,0.132,-0.667,0.799,76,19.873774509803923
Luke Kornet,1628436,SAS,-3.445,-0.859,-2.586,2.301,1.196,1.105,68,21.030637254901958
Oso Ighodaro,1642345,PHX,2.315,2.249,0.067,2.945,0.948,1.997,82,22.053658536585367
Anfernee Simons,1629014,CHI,1.924,1.767,0.157,1.545,0.934,0.611,14,28.355555555555554
Vince Williams Jr.,1631246,MEM,2.983,-0.904,3.888,1.581,-1.049,2.63,42,21.644607843137255
Isaiah Jackson,1630543,IND,-4.677,-0.641,-4.036,-2.559,-0.883,-1.676,38,16.792105263157893
Terance Mann,1629611,BKN,4.537,2.38,2.157,-1.317,-0.858,-0.459,71,24.27037037037037
Bryce McGowens,1631121,NOP,-0.566,-0.185,-0.381,-0.208,0.701,-0.909,53,20.95079365079365
D'Angelo Russell,1626156,DAL,-0.877,-2.791,1.914,0.285,-1.18,1.465,42,19.030128205128207
Jamir Watkins,1642364,WAS,-5.628,-4.566,-1.062,-0.661,-0.613,-0.048,58,20.643666666666665
Jose Alvarado,1630631,NYK,2.102,2.189,-0.087,0.731,-0.633,1.364,30,16.92142857142857
Paul Reed,1630194,DET,11.431,4.959,6.473,6.33,1.554,4.776,81,13.856153846153846
Zach Collins,1628380,CHI,4.194,2.988,1.206,4.307,2.831,1.476,16,18.373333333333335
PJ Hall,1641790,CHA,-1.052,-0.341,-0.711,,,,12,15.558333333333334
Walter Clayton Jr.,1642383,UTA,-6.832,-2.005,-4.826,-5.411,-2.452,-2.959,50,18.026666666666664
Pat Spencer,1630311,GSW,-1.511,0.723,-2.234,-0.527,-0.548,0.021,80,18.62070707070707
KJ Simpson,1642354,CHA,0.057,-0.214,0.271,,,,14,15.938095238095238
Drake Powell,1642962,BKN,-6.825,-6.51,-0.316,-5.521,-5.11,-0.411,69,20.944444444444446
Ryan Nembhard,1642948,DAL,0.806,2.211,-1.404,0.955,0.253,0.702,67,19.514722222222225
Julian Strawther,1631124,DEN,-2.045,-2.115,0.071,0.262,0.326,-0.064,70,15.099415204678364
Jared McCain,1642272,PHI,1.325,-0.519,1.844,1.437,-0.343,1.78,42,16.75990990990991
Isaiah Jackson,1630543,LAC,-4.677,-0.641,-4.036,-2.559,-0.883,-1.676,22,15.89607843137255
Mitchell Robinson,1629011,NYK,2.546,0.089,2.457,4.448,2.49,1.958,60,19.575277777777778
Svi Mykhailiuk,1629004,UTA,-1.809,-0.249,-1.56,-0.574,0.519,-1.093,82,23.112333333333332
Moritz Wagner,1629021,ORL,-4.646,-2.821,-1.825,-3.595,-2.44,-1.155,43,11.85
Ethan Thompson,1630679,IND,5.842,2.254,3.588,3.036,0.907,2.129,39,20.413020833333334
Kenrich Williams,1629026,OKC,1.819,-2.308,4.127,1.203,-0.429,1.632,64,15.271130952380952
Trendon Watford,1630570,PHI,-2.441,-1.01,-1.432,-2.949,-2.83,-0.119,62,16.296226415094342
Dean Wade,1629731,CLE,5.363,3.54,1.823,5.132,2.829,2.303,61,22.333050847457628
Tyrese Martin,1631213,BKN,-0.641,-1.314,0.673,-2.075,-1.506,-0.569,48,18.810810810810814
Jonathan Kuminga,1630228,GSW,3.293,-4.495,7.788,1.369,-1.474,2.843,43,23.8075
Gradey Dick,1641711,TOR,6.536,0.881,5.655,2.447,-0.628,3.075,82,14.036622807017544
Yves Missi,1642274,NOP,0.623,1.271,-0.649,1.525,0.221,1.304,69,19.651767676767676
