season,team,tournament_finish,tournament_seed,current_passed,current_total,candidate_passed,candidate_total,cur_trapezoid,cur_balanced_dominance,cur_title_favorite,cur_win_pct,cur_elite_efficiency,cur_three_point_pct,cur_elite_adjem,cur_ap_poll_week6,cur_efg_margin,cur_ftr_margin,cur_rebounding_edge,cur_turnover_edge,cur_four_factor_index,cur_wab,cur_ft_pct,cand_trapezoid,cand_title_favorite,cand_win_pct,cand_elite_efficiency,cand_ap_poll_week6,cand_efg_margin,cand_ftr_margin,cand_rebounding_edge,cand_turnover_edge,cand_four_factor_index,cand_wab,cand_ft_pct,cand_sos,cand_no_glaring_weakness
2005,Navy,,,2,15,2,14,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False
2005,Nebraska,,,3,15,3,14,False,False,False,False,False,False,False,False,False,True,True,True,False,False,False,False,False,False,False,False,False,True,True,True,False,False,False,False,False
2005,Nevada,,9,4,15,4,14,False,False,False,True,False,False,False,False,False,True,True,False,False,False,True,False,False,True,False,False,False,True,True,False,False,False,True,False,False
2005,New Hampshire,,,3,15,3,14,False,False,False,False,False,False,False,False,False,True,False,False,False,True,True,False,False,False,False,False,False,True,False,False,False,True,True,False,False
2005,New Orleans,,,3,15,2,14,False,False,False,False,False,True,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False
2005,Nicholls St.,,,4,15,3,14,False,False,False,False,False,True,False,False,False,True,False,False,False,True,True,False,False,False,False,False,False,True,False,False,False,True,True,False,False
2005,Norfolk St.,,,3,15,2,14,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False
2005,North Carolina A&T,,,1,15,1,14,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
2005,North Dakota St.,,,1,15,1,14,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
2005,Northern Colorado,,,3,15,3,14,False,False,False,False,False,False,False,False,False,True,False,False,False,True,True,False,False,False,False,False,False,True,False,False,False,True,True,False,False
2005,Northern Illinois,,,3,15,2,14,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False
2005,Notre Dame,,,4,15,3,14,False,False,False,False,False,True,False,False,False,True,False,True,False,False,True,False,False,False,False,False,False,True,False,True,False,False,True,False,False
2005,Oakland,,16,2,15,2,14,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False
2005,Ohio,,13,3,15,3,14,False,False,False,False,False,False,False,False,False,True,False,True,False,False,True,False,False,False,False,False,False,True,False,True,False,False,True,False,False
2005,Oral Roberts,,,5,15,5,14,False,False,False,True,False,True,False,False,False,True,True,False,False,False,True,False,False,True,False,False,False,True,True,False,False,False,True,False,True
2005,Oregon,,,2,15,2,14,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False
2005,Oregon St.,,,4,15,3,14,False,False,False,False,False,True,False,False,False,True,False,True,False,False,True,False,False,False,False,False,False,True,False,True,False,False,True,False,False
2005,Penn,,13,3,15,2,14,False,False,False,False,False,True,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False
2005,Penn St.,,,4,15,4,14,False,False,False,False,False,True,False,False,False,True,True,False,False,False,True,False,False,False,False,False,False,True,True,False,False,False,True,True,False
2005,Pepperdine,,,4,15,3,14,False,False,False,False,False,True,False,False,False,True,True,True,False,False,False,False,False,False,False,False,False,True,True,True,False,False,False,False,False
2005,Portland,,,4,15,3,14,False,False,False,False,False,True,False,False,False,True,False,True,False,False,True,False,False,False,False,False,False,True,False,True,False,False,True,False,False
2005,Prairie View A&M,,,0,15,0,14,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2005,Purdue Fort Wayne,,,1,15,0,14,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2005,Quinnipiac,,,3,15,2,14,False,False,False,False,False,True,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,True,True,False,False
2005,Rice,,,4,15,3,14,False,False,False,False,False,True,False,False,False,True,True,False,False,False,True,False,False,False,False,False,False,True,True,False,False,False,True,False,False
2005,Richmond,,,3,15,2,14,False,False,False,False,False,True,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False
2005,Rider,,,4,15,3,14,False,False,False,False,False,True,False,False,False,True,False,True,False,False,True,False,False,False,False,False,False,True,False,True,False,False,True,False,False
2005,Robert Morris,,,3,15,2,14,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False
2005,Sacred Heart,,,2,15,2,14,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False
2005,Saint Francis,,,4,15,3,14,False,False,False,False,False,True,False,False,False,True,False,False,False,True,True,False,False,False,False,False,False,True,False,False,False,True,True,False,False
2005,Saint Louis,,,1,15,1,14,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
2005,Samford,,,4,15,3,14,False,False,False,False,False,True,False,False,False,True,False,False,False,True,True,False,False,False,False,False,False,True,False,False,False,True,True,False,False
2005,Sam Houston St.,,,3,15,2,14,False,False,False,False,False,True,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False
2005,San Diego,,,4,15,3,14,False,False,False,False,False,True,False,False,False,True,True,False,False,False,True,False,False,False,False,False,False,True,True,False,False,False,True,False,False
2005,San Diego St.,,,3,15,3,14,False,False,False,False,False,False,False,False,False,True,False,True,False,False,True,False,False,False,False,False,False,True,False,True,False,False,True,False,False
2005,San Francisco,,,4,15,3,14,False,False,False,False,False,True,False,False,False,True,False,True,False,False,True,False,False,False,False,False,False,True,False,True,False,False,True,False,False
2005,San Jose St.,,,2,15,1,14,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False
2005,Seattle,,,2,15,2,14,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False
2005,Seton Hall,,,4,15,3,14,False,False,False,False,False,True,False,False,False,False,True,True,False,False,True,False,False,False,False,False,False,False,True,True,False,False,True,False,False
2005,Siena,,,2,15,2,14,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False
2005,SIU Edwardsville,,,2,15,1,14,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
2005,SMU,,,3,15,3,14,False,False,False,False,False,False,False,False,False,True,False,True,False,False,True,False,False,False,False,False,False,True,False,True,False,False,True,False,False
2005,South Carolina St.,,,3,15,3,14,False,False,False,False,False,False,False,False,False,True,True,False,False,False,True,False,False,False,False,False,False,True,True,False,False,False,True,False,False
2005,South Florida,,,4,15,3,14,False,False,False,False,False,True,False,False,False,True,False,True,False,False,True,False,False,False,False,False,False,True,False,True,False,False,True,False,False
2005,Stetson,,,5,15,4,14,False,False,False,False,False,True,False,False,False,True,True,False,False,True,True,False,False,False,False,False,False,True,True,False,False,True,True,False,False
2005,Temple,,,4,15,4,14,False,False,False,False,False,False,False,False,False,True,True,True,False,False,True,False,False,False,False,False,False,True,True,True,False,False,True,False,False
2005,Tennessee Tech,,,4,15,3,14,False,False,False,False,False,True,False,False,False,True,False,False,False,True,True,False,False,False,False,False,False,True,False,False,False,True,True,False,False
2005,The Citadel,,,3,15,2,14,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False
2005,Towson,,,1,15,1,14,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False
