pace_pad,q_bot_em,q_x_left_bot,q_x_right_bot,champ_capture_excl_uconn,uconn_excluded,avg_inside_per_season,inside_growth,depth_corr
0.25,0.95,0.25,0.9,3,False,14.142857142857142,5.19047619047619,0.17518515569586599
0.25,0.95,0.3,0.7,1,False,11.904761904761905,2.9523809523809526,0.17548914568918883
0.25,0.95,0.3,0.75,1,False,12.142857142857142,3.19047619047619,0.17537566217042508
0.25,0.95,0.3,0.8,1,False,12.571428571428571,3.6190476190476186,0.17522415032291142
0.25,0.95,0.3,0.85,2,False,13.19047619047619,4.238095238095237,0.1750234306064378
0.25,0.95,0.3,0.9,3,False,13.666666666666666,4.7142857142857135,0.17496581236427064
0.25,0.955,0.1,0.7,1,False,11.761904761904763,2.80952380952381,0.17671436006631733
0.25,0.955,0.1,0.75,1,False,12.238095238095237,3.2857142857142847,0.1767499956063648
0.25,0.955,0.1,0.8,1,False,12.619047619047619,3.666666666666666,0.1766988993766344
0.25,0.955,0.1,0.85,2,False,13.095238095238095,4.142857142857142,0.17661178416430032
0.25,0.955,0.1,0.9,3,False,13.428571428571429,4.476190476190476,0.17659357192471847
0.25,0.955,0.15,0.7,1,False,11.571428571428571,2.6190476190476186,0.17670139775826624
0.25,0.955,0.15,0.75,1,False,12.047619047619047,3.095238095238095,0.17672826798270208
0.25,0.955,0.15,0.8,1,False,12.428571428571429,3.4761904761904763,0.1766576115545956
0.25,0.955,0.15,0.85,2,False,12.904761904761905,3.9523809523809526,0.17655436595580526
0.25,0.955,0.15,0.9,3,False,13.238095238095237,4.285714285714285,0.1765334227465753
0.25,0.955,0.2,0.7,1,False,11.285714285714286,2.333333333333334,0.17652488203631214
0.25,0.955,0.2,0.75,1,False,11.761904761904763,2.80952380952381,0.1765374799065373
0.25,0.955,0.2,0.8,1,False,12.142857142857142,3.19047619047619,0.17646066249992115
0.25,0.955,0.2,0.85,2,False,12.619047619047619,3.666666666666666,0.17631624822790617
0.25,0.955,0.2,0.9,3,False,12.952380952380953,4.0,0.17626777858951637
0.25,0.955,0.25,0.7,1,False,10.761904761904763,1.8095238095238102,0.17645905773111736
0.25,0.955,0.25,0.75,1,False,11.238095238095237,2.2857142857142847,0.1764601843274878
0.25,0.955,0.25,0.8,1,False,11.619047619047619,2.666666666666666,0.17635771073425066
0.25,0.955,0.25,0.85,2,False,12.095238095238095,3.1428571428571423,0.1761763080415351
0.25,0.955,0.25,0.9,3,False,12.428571428571429,3.4761904761904763,0.17611303007619936
0.25,0.955,0.3,0.7,1,False,10.523809523809524,1.5714285714285712,0.17658184993940884
0.25,0.955,0.3,0.75,1,False,11.0,2.0476190476190474,0.1765574798707153
0.25,0.955,0.3,0.8,1,False,11.380952380952381,2.428571428571429,0.1764301149080971
0.25,0.955,0.3,0.85,2,False,11.857142857142858,2.904761904761905,0.17623390625172183
0.25,0.955,0.3,0.9,3,False,12.19047619047619,3.2380952380952372,0.17617456531777287
0.25,0.96,0.1,0.7,0,True,10.761904761904763,1.8095238095238102,0.17792993927505757
0.25,0.96,0.1,0.75,0,True,10.952380952380953,2.0,0.17795004313209709
0.25,0.96,0.1,0.8,1,True,11.142857142857142,2.19047619047619,0.1779457587803033
0.25,0.96,0.1,0.85,2,True,11.666666666666666,2.7142857142857135,0.17781770230884067
0.25,0.96,0.1,0.9,3,True,11.952380952380953,3.0,0.17784396799854885
0.25,0.96,0.15,0.7,0,True,10.571428571428571,1.6190476190476186,0.17781839154571674
0.25,0.96,0.15,0.75,0,True,10.761904761904763,1.8095238095238102,0.17781934598925925
0.25,0.96,0.15,0.8,1,True,10.952380952380953,2.0,0.1777992261286506
0.25,0.96,0.15,0.85,2,True,11.476190476190476,2.5238095238095237,0.17765059172122866
0.25,0.96,0.15,0.9,3,True,11.761904761904763,2.80952380952381,0.17766391541478477
0.25,0.96,0.2,0.7,0,True,10.19047619047619,1.2380952380952372,0.17776123180558195
0.25,0.96,0.2,0.75,0,True,10.380952380952381,1.4285714285714288,0.17776150612575073
0.25,0.96,0.2,0.8,1,True,10.571428571428571,1.6190476190476186,0.17772757086659044
0.25,0.96,0.2,0.85,2,True,11.095238095238095,2.1428571428571423,0.17755286911516843
0.25,0.96,0.2,0.9,3,True,11.380952380952381,2.428571428571429,0.17755517651190642
0.25,0.96,0.25,0.7,0,True,9.857142857142858,0.9047619047619051,0.1776348951915985
0.25,0.96,0.25,0.75,0,True,10.047619047619047,1.095238095238095,0.17760421305926508
0.25,0.96,0.25,0.8,1,True,10.238095238095237,1.2857142857142847,0.17754837588254344
0.25,0.96,0.25,0.85,2,True,10.761904761904763,1.8095238095238102,0.17735999528399884
