player_name,draft_year,draft_pick,draft_round,draft_age,college,position,position_group,bpm_college,stl_pct,orb_pct,blk_pct,ast_pct,ts_pct,ft_pct,three_par,usg_pct,dws,program_srs,college_season_year,vorp_yr2_5_avg,ws48_yr2_5_avg,bpm_yr2_5_avg,years_available,bbref_url,cbb_url,school_name
Brandon Clarke,2019,21,1,22.8,Gonzaga,Power Forward,BIG,6.7,1.9,10.3,7.2,15.9,0.605,0.568,0.017,21.7,2.7,,,1.175,0.1725,2.3,4,/players/c/clarkbr01.html,https://www.sports-reference.com/cbb/players/brandon-clarke-1.html,
Grant Williams,2019,22,1,20.6,Tennessee,Power Forward,BIG,12.7,2.0,8.5,5.4,18.5,0.646,0.758,0.111,26.4,2.3,21.55,2019.0,0.125,0.08474999999999999,-1.9500000000000002,4,/players/w/willigr01.html,https://www.sports-reference.com/cbb/players/grant-williams-1.html,Tennessee
Ty Jerome,2019,24,1,22.0,Virginia,Shooting Guard,G,11.5,3.0,1.8,0.1,32.6,0.555,0.788,0.484,23.4,2.9,25.46,2019.0,0.125,0.06875,-2.175,4,/players/j/jeromty01.html,https://www.sports-reference.com/cbb/players/ty-jerome-1.html,Virginia
Nassir Little,2019,25,1,19.4,UNC,Small Forward,F,5.1,1.5,9.2,3.3,6.4,0.549,0.77,0.19,25.2,1.2,23.94,2019.0,-0.075,0.066,-2.525,4,/players/l/littlna01.html,https://www.sports-reference.com/cbb/players/nassir-little-1.html,UNC
Dylan Windler,2019,26,1,22.8,Belmont,Small Forward,F,10.3,2.3,6.8,1.7,13.6,0.681,0.761,0.518,25.7,2.3,9.12,2019.0,0.025,0.10450000000000001,1.0,4,/players/w/windldy01.html,https://www.sports-reference.com/cbb/players/dylan-windler-1.html,Belmont
Mfiondu Kabengele,2019,27,1,21.9,Florida State,Power Forward,BIG,9.6,1.5,11.5,8.3,3.2,0.593,0.724,0.199,28.5,1.8,15.42,2019.0,-0.15000000000000002,0.0465,-6.6,2,/players/k/kabenmf01.html,https://www.sports-reference.com/cbb/players/mfiondu-kabengele-1.html,Florida St.
Jordan Poole,2019,28,1,20.0,Michigan,Shooting Guard,G,7.2,2.0,0.8,0.7,13.0,0.573,0.831,0.55,20.9,2.7,21.82,2019.0,0.25,0.0675,-1.325,4,/players/p/poolejo01.html,https://www.sports-reference.com/cbb/players/jordan-poole-1.html,Michigan
Keldon Johnson,2019,29,1,19.7,Kentucky,Small Forward,F,6.7,1.5,5.5,0.6,10.4,0.558,0.703,0.316,22.7,2.0,21.43,2019.0,0.35000000000000003,0.06975,-1.4,4,/players/j/johnske04.html,https://www.sports-reference.com/cbb/players/keldon-johnson-1.html,Kentucky
Kevin Porter Jr.,2019,30,1,19.1,USC,"Shooting Guard, Point Guard,",G,3.3,2.1,4.8,2.6,12.0,0.559,0.522,0.433,23.3,0.7,8.23,2019.0,0.4000000000000001,0.02966666666666667,-1.5,3,/players/p/porteke02.html,https://www.sports-reference.com/cbb/players/kevin-porterjr-1.html,USC
Nic Claxton,2019,31,2,20.2,Georgia,Center,BIG,5.5,1.9,8.4,8.0,12.2,0.533,0.611,0.215,22.1,1.7,5.31,2019.0,1.4,0.16775,1.3,4,/players/c/claxtni01.html,https://www.sports-reference.com/cbb/players/nicolas-claxton-1.html,Georgia
KZ Okpala,2019,32,2,20.2,Stanford,Power Forward,BIG,3.2,1.7,4.1,1.4,13.0,0.543,0.674,0.237,27.3,1.4,6.03,2019.0,-0.26666666666666666,0.05633333333333334,-4.366666666666666,3,/players/o/okpalkz01.html,https://www.sports-reference.com/cbb/players/kezie-okpala-1.html,Stanford
Carsen Edwards,2019,33,2,21.3,Purdue,Shooting Guard,G,8.5,2.3,1.3,1.0,18.3,0.541,0.817,0.541,37.3,1.6,21.4,2019.0,-0.15000000000000002,-0.012,-6.9,2,/players/e/edwarca01.html,https://www.sports-reference.com/cbb/players/carsen-edwards-1.html,Purdue
Bruno Fernando,2019,34,2,20.9,Maryland,Center,BIG,10.0,1.3,12.0,7.0,14.4,0.653,0.763,0.035,22.6,2.4,16.01,2019.0,-0.075,0.08325,-2.725,4,/players/f/fernabr01.html,https://www.sports-reference.com/cbb/players/bruno-fernando-1.html,Maryland
Cody Martin,2019,36,2,23.7,Nevada,Small Forward,F,7.3,2.4,4.6,3.4,24.9,0.579,0.725,0.217,18.9,4.4,,,0.07499999999999998,0.04875,-2.65,4,/players/m/martico01.html,https://www.sports-reference.com/cbb/players/cody-martin-1.html,
Daniel Gafford,2019,38,2,20.7,Arkansas,Center,BIG,8.3,1.8,11.1,8.7,6.0,0.652,0.562,0.0,26.0,1.8,11.75,2019.0,1.35,0.199,1.85,4,/players/g/gaffoda01.html,https://www.sports-reference.com/cbb/players/daniel-gafford-1.html,Arkansas
Justin James,2019,40,2,22.4,Wyoming,Small Forward,F,2.7,2.2,3.2,1.7,33.0,0.515,0.731,0.303,35.6,1.5,-9.75,2019.0,-0.2,0.02,-4.3,1,/players/j/jamesju01.html,https://www.sports-reference.com/cbb/players/justin-james-2.html,Wyoming
Eric Paschall,2019,41,2,22.6,Villanova,Power Forward,BIG,5.4,1.5,6.5,2.1,10.6,0.593,0.756,0.411,20.4,4.7,,,0.09999999999999999,0.0945,-1.6,2,/players/p/pascher01.html,https://www.sports-reference.com/cbb/players/eric-paschall-1.html,
Admiral Schofield,2019,42,2,22.2,Tennessee,Power Forward,BIG,6.3,1.6,4.5,1.7,12.0,0.562,0.763,0.353,26.2,1.9,21.55,2019.0,-0.20000000000000004,0.04066666666666666,-4.4,3,/players/s/schofad01.html,https://www.sports-reference.com/cbb/players/admiral-schofield-1.html,Tennessee
Jaylen Nowell,2019,43,2,20.0,Washington,Shooting Guard,G,4.9,2.2,3.5,0.8,20.8,0.592,0.789,0.267,25.3,2.1,12.01,2019.0,0.02499999999999998,0.061,-2.475,4,/players/n/nowelja01.html,https://www.sports-reference.com/cbb/players/jaylen-nowell-1.html,Washington
Bol Bol,2019,44,2,19.6,Oregon,Power Forward,BIG,13.0,1.6,8.7,12.4,9.6,0.632,0.757,0.189,33.4,0.8,13.95,2019.0,0.2,0.07525,-0.9749999999999999,4,/players/b/bolbo01.html,https://www.sports-reference.com/cbb/players/bol-bol-1.html,Oregon
Isaiah Roby,2019,45,2,21.4,Nebraska,Power Forward,BIG,6.7,2.4,6.6,6.4,12.5,0.532,0.702,0.258,21.6,2.2,14.85,2019.0,-0.06666666666666667,0.059666666666666666,-2.433333333333333,3,/players/r/robyis01.html,https://www.sports-reference.com/cbb/players/isaiah-roby-1.html,Nebraska
Talen Horton-Tucker,2019,46,2,18.6,Iowa State,Shooting Guard,G,4.2,2.8,2.9,2.7,16.2,0.488,0.625,0.416,26.2,1.7,14.27,2019.0,0.05,0.04475,-1.825,4,/players/h/hortota01.html,https://www.sports-reference.com/cbb/players/talen-horton-tucker-1.html,Iowa St.
Ignas Brazdeikis,2019,47,2,20.5,Michigan,Small Forward,F,8.9,1.5,4.6,1.7,6.1,0.573,0.773,0.351,26.1,2.7,21.82,2019.0,-0.25,0.0285,-4.8,2,/players/b/brazdig01.html,https://www.sports-reference.com/cbb/players/ignas-brazdeikis-1.html,Michigan
Terance Mann,2019,48,2,22.7,Florida State,Shooting Guard,G,7.7,1.2,9.1,1.2,15.6,0.603,0.67,0.265,17.5,1.9,15.42,2019.0,0.6,0.11775,-0.625,4,/players/m/mannte01.html,https://www.sports-reference.com/cbb/players/terance-mann-1.html,Florida St.
Quinndary Weatherspoon,2019,49,2,22.8,Mississippi State,Shooting Guard,G,8.1,2.9,4.7,1.0,16.6,0.622,0.788,0.332,26.1,1.4,-14.57,2019.0,-0.05,0.08549999999999999,-4.7,2,/players/w/weathqu01.html,https://www.sports-reference.com/cbb/players/quinndary-weatherspoon-1.html,Miss. St.
Jarrell Brantley,2019,50,2,23.0,College of Charleston,Power Forward,BIG,5.1,2.5,6.6,3.3,15.9,0.598,0.768,0.253,30.0,1.9,-2.43,2019.0,0.1,0.16599999999999998,2.85,2,/players/b/brantja01.html,https://www.sports-reference.com/cbb/players/jarrell-brantley-1.html,Charleston
Tremont Waters,2019,51,2,21.5,LSU,Point Guard,G,8.9,5.1,1.1,0.4,34.0,0.547,0.807,0.428,25.7,1.7,16.5,2019.0,0.0,0.019,-3.7,2,/players/w/watertr01.html,https://www.sports-reference.com/cbb/players/tremont-waters-1.html,LSU
