player_name,draft_year,draft_pick,draft_round,draft_age,position,college,bbref_url,cbb_url,position_group,vorp_yr2_5_avg,ws48_yr2_5_avg,bpm_yr2_5_avg,years_available,bpm_college,stl_pct,orb_pct,blk_pct,ast_pct,ts_pct,ft_pct,three_par,usg_pct,dws,school_name,college_season_year,program_srs
Darington Hobson,2010,37,2,22.7,Shooting Guard,New Mexico,/players/h/hobsoda01.html,https://www.sports-reference.com/cbb/players/darington-hobson-1.html,G,-0.1,-0.225,-13.0,1,,2.2,6.9,1.6,29.3,0.52,0.653,0.246,26.9,2.2,New Mexico,2010.0,12.49
Andy Rautins,2010,38,2,23.6,Shooting Guard,Syracuse,/players/r/rautian01.html,https://www.sports-reference.com/cbb/players/andy-rautins-1.html,G,0.0,0.0,0.0,0,,3.4,2.0,0.8,23.9,0.632,0.763,0.811,18.4,2.1,Syracuse,2010.0,21.72
Landry Fields,2010,39,2,22.0,Small Forward,Stanford,/players/f/fieldla01.html,https://www.sports-reference.com/cbb/players/landry-fields-1.html,F,0.325,0.0665,-0.825,4,,2.6,7.9,2.3,19.5,0.56,0.676,0.17,31.5,1.8,Stanford,2010.0,5.71
Lance Stephenson,2010,40,2,19.8,"Shooting Guard, Small Forward,",Cincinnati,/players/s/stephla01.html,https://www.sports-reference.com/cbb/players/lance-stephenson-1.html,G,0.575,0.047,-1.725,4,,1.9,7.3,0.7,19.1,0.493,0.664,0.198,26.2,1.3,Cincinnati,2010.0,9.98
Jarvis Varnado,2010,41,2,22.3,Power Forward,Mississippi State,/players/v/varnaja01.html,https://www.sports-reference.com/cbb/players/jarvis-varnado-1.html,BIG,-0.05,0.027500000000000004,-5.9,2,,1.2,10.6,14.2,6.2,0.597,0.595,0.0,21.6,3.2,Miss. St.,2010.0,-4.38
Da'Sean Butler,2010,42,2,,,West Virginia,/players/b/butleda03.html,https://www.sports-reference.com/cbb/players/dasean-butler-1.html,F,0.0,0.0,0.0,0,,1.7,5.0,1.3,19.2,0.541,0.732,0.394,25.0,2.1,West Virginia,2010.0,19.16
Devin Ebanks,2010,43,2,20.7,Shooting Guard,West Virginia,/players/e/ebankde01.html,https://www.sports-reference.com/cbb/players/devin-ebanks-1.html,G,-0.25,0.004,-5.95,2,,1.9,9.5,2.2,14.7,0.527,0.736,0.095,20.1,2.1,West Virginia,2010.0,19.16
Jerome Jordan,2010,44,2,23.7,Center,Tulsa,/players/j/jordaje01.html,https://www.sports-reference.com/cbb/players/jerome-jordan-1.html,BIG,0.1,0.1835,-0.7,2,,0.9,9.6,7.5,9.8,0.595,0.696,0.0,26.0,2.3,Tulsa,2010.0,8.46
Gani Lawal,2010,46,2,21.6,Power Forward,Georgia Tech,/players/l/lawalga01.html,https://www.sports-reference.com/cbb/players/gani-lawal-1.html,BIG,0.0,0.0,0.0,0,,1.0,13.0,5.6,3.4,0.547,0.552,0.003,26.1,2.2,Ga Tech,2010.0,14.11
Tiny Gallon,2010,47,2,,,Oklahoma,/players/g/galloti01.html,https://www.sports-reference.com/cbb/players/tiny-gallon-1.html,F,0.0,0.0,0.0,0,,1.7,13.1,3.3,7.5,0.584,0.697,0.076,23.7,0.8,Oklahoma,2010.0,6.24
Solomon Alabi,2010,50,2,22.3,Center,Florida State,/players/a/alabiso01.html,https://www.sports-reference.com/cbb/players/solomon-alabi-1.html,BIG,0.0,0.083,-2.2,1,,1.4,11.6,10.4,4.4,0.596,0.745,0.0,22.8,2.1,Florida St.,2010.0,11.89
Magnum Rolle,2010,51,2,,,Louisiana Tech,/players/r/rollema01.html,https://www.sports-reference.com/cbb/players/magnum-rolle-1.html,F,0.0,0.0,0.0,0,,1.5,13.2,7.0,5.9,0.55,0.657,0.003,24.2,3.9,,,
Luke Harangody,2010,52,2,22.5,Power Forward,Notre Dame,/players/h/haranlu01.html,https://www.sports-reference.com/cbb/players/luke-harangody-1.html,BIG,-0.1,0.046,-3.0,1,,0.9,8.3,2.1,11.8,0.552,0.782,0.16,34.6,1.0,Notre Dame,2010.0,13.14
Willie Warren,2010,54,2,20.7,Point Guard,Oklahoma,/players/w/warrewi01.html,https://www.sports-reference.com/cbb/players/willie-warren-1.html,G,0.0,0.0,0.0,0,,1.8,2.3,0.2,27.8,0.567,0.788,0.401,28.7,0.2,Oklahoma,2010.0,6.24
Jeremy Evans,2010,55,2,22.7,Small Forward,Western Kentucky,/players/e/evansje01.html,https://www.sports-reference.com/cbb/players/jeremy-evans-1.html,F,0.325,0.1885,2.625,4,,1.9,13.5,7.2,5.9,0.668,0.684,0.057,16.8,1.6,Western Ky.,2010.0,
Hamady N'Diaye,2010,56,2,23.4,Center,Rutgers University,/players/n/ndiayha01.html,https://www.sports-reference.com/cbb/players/hamady-ndiaye-1.html,BIG,-0.05,-0.1885,-14.450000000000001,2,,0.8,9.4,14.5,3.3,0.594,0.592,0.0,16.6,1.3,Rutgers,2010.0,1.29
Ryan Reid,2010,57,2,23.7,Power Forward,Florida State,/players/r/reidry01.html,https://www.sports-reference.com/cbb/players/ryan-reid-1.html,BIG,0.0,0.142,-2.0,1,,1.5,9.9,2.6,10.1,0.516,0.604,0.0,18.0,1.4,Florida St.,2010.0,11.89
Derrick Caracter,2010,58,2,22.1,Center,Texas-El Paso,/players/c/caracde01.html,https://www.sports-reference.com/cbb/players/derrick-caracter-1.html,BIG,0.0,0.0,0.0,0,,2.1,12.0,3.6,9.0,0.598,0.672,0.057,27.4,1.8,,,
Stanley Robinson,2010,59,2,,,UConn,/players/r/robinst01.html,https://www.sports-reference.com/cbb/players/stanley-robinson-1.html,F,0.0,0.0,0.0,0,,1.5,8.9,3.2,6.6,0.57,0.646,0.204,21.5,1.8,UConn,2010.0,12.5
Dwayne Collins,2010,60,2,,,Miami (FL),/players/c/collidw01.html,https://www.sports-reference.com/cbb/players/dwayne-collins-1.html,F,0.0,0.0,0.0,0,,1.4,14.3,5.0,10.3,0.602,0.563,0.0,25.4,1.4,Miami (FL),2010.0,11.35
