player_name,nba_id,team,bpr,obpr,dbpr,box_bpr,box_obpr,box_dbpr,gp,mpg
Justin Edwards,1642348,PHI,1.604,2.309,-0.705,-1.156,-0.82,-0.336,81,15.265885416666666
Goga Bitadze,1629048,ORL,1.553,0.654,0.9,2.591,0.66,1.931,79,15.187760416666666
Jaden Hardy,1630702,DAL,0.797,0.137,0.661,-1.625,-0.467,-1.158,50,12.590686274509805
Vince Williams Jr.,1631246,UTA,3.963,-0.306,4.27,3.564,-0.299,3.863,6,13.916666666666666
Thomas Bryant,1628418,CLE,1.351,0.989,0.362,1.432,0.281,1.151,78,12.1975
Devin Carter,1642269,SAC,-1.964,-0.285,-1.678,-0.509,0.066,-0.575,72,18.417543859649122
Oscar Tshiebwe,1631131,UTA,0.114,1.171,-1.057,-0.009,1.171,-1.18,46,16.608024691358025
Kyle Anderson,203937,MIN,1.473,1.433,0.04,0.512,-1.415,1.927,19,19.090350877192982
Adem Bona,1641737,PHI,-3.741,-3.096,-0.645,0.045,-1.267,1.312,76,17.383098591549295
Jordan Walsh,1641775,BOS,4.562,0.765,3.798,3.357,1.774,1.583,81,17.82328431372549
Jamaree Bouyea,1631123,PHX,3.572,-1.962,5.534,1.939,-2.018,3.957,59,14.001811594202898
Jeremiah Robinson-Earl,1630526,DAL,-2.248,-0.792,-1.455,-2.61,-0.763,-1.847,5,12.21
Vít Krejčí,1630249,POR,-2.729,-2.133,-0.596,0.158,-0.899,1.057,31,19.17017543859649
Dereck Lively II,1641726,DAL,0.114,-0.225,0.34,,,,7,16.46904761904762
Josh Minott,1631169,BOS,3.02,0.369,2.651,1.519,-0.266,1.785,45,15.929292929292929
Josh Okogie,1629006,HOU,0.89,-0.34,1.23,1.886,-0.535,2.421,82,17.356410256410257
Tyler Smith,1641890,DAL,0.363,0.853,-0.49,,,,13,13.79861111111111
Dylan Cardwell,1642928,SAC,1.438,-1.695,3.133,0.791,-0.774,1.565,57,20.60227272727273
Josh Green,1630182,CHA,1.322,-1.92,3.241,4.401,1.155,3.246,60,15.654597701149424
Kris Murray,1631200,POR,1.155,0.591,0.564,2.648,-0.094,2.742,79,23.390058479532165
Jeremiah Robinson-Earl,1630526,IND,-2.248,-0.792,-1.455,-2.61,-0.763,-1.847,19,17.62156862745098
Jalen Wilson,1630592,BKN,4.016,3.316,0.7,-1.79,-1.696,-0.094,81,15.911728395061727
Gabe Vincent,1629216,LAL,1.214,2.195,-0.982,1.676,1.941,-0.265,33,19.266666666666666
Ochai Agbaji,1630534,BKN,-0.497,-2.652,2.154,-0.188,-2.048,1.86,32,16.158333333333335
Pete Nance,1631250,MIL,-6.668,-0.588,-6.08,-0.911,0.862,-1.773,60,15.682978723404256
Josh Oduro,1642490,NOP,-1.181,-0.829,-0.352,,,,6,27.255555555555553
Seth Curry,203552,GSW,0.515,0.325,0.191,,,,17,13.3
Mouhamed Gueye,1631243,ATL,-1.137,-1.335,0.198,3.551,1.022,2.529,81,15.309523809523808
Jericho Sims,1630579,MIL,-0.696,-0.749,0.052,-3.29,-0.871,-2.419,81,19.669402985074626
Tre Mann,1630544,CHA,-4.723,-2.724,-1.999,-5.064,-3.498,-1.566,73,12.612578616352202
Jett Howard,1641724,ORL,-2.385,2.128,-4.512,-1.142,0.756,-1.898,75,12.642424242424243
Craig Porter Jr.,1641854,CLE,0.168,-0.686,0.854,2.887,1.169,1.718,72,17.932552083333334
Elijah Harkless,1641989,UTA,-0.031,-0.315,0.283,-0.07,-0.208,0.138,45,20.954487179487177
Tyus Jones,1626145,DAL,-1.011,-0.888,-0.122,-0.854,-0.985,0.131,8,16.6125
Aaron Holiday,1628988,HOU,3.717,-0.793,4.51,2.527,-0.739,3.266,81,13.69766081871345
Liam McNeeley,1642862,CHA,-0.442,-1.447,1.005,-0.6,-1.191,0.591,34,11.856451612903225
Anthony Gill,1630264,WAS,-4.151,-4.723,0.572,-3.549,-1.505,-2.044,82,17.290000000000003
Ochai Agbaji,1630534,TOR,-0.497,-2.652,2.154,-0.188,-2.048,1.86,46,15.477380952380951
Taylor Hendricks,1641707,UTA,-3.972,-1.49,-2.482,-3.149,-1.57,-1.579,43,14.914141414141415
Jamal Cain,1631288,ORL,-0.241,0.629,-0.87,2.119,1.86,0.259,56,12.149583333333334
Mac McClung,1630644,IND,-1.977,-0.939,-1.038,,,,5,11.294444444444444
E.J. Liddell,1630604,BKN,0.4,0.145,0.255,-0.142,-0.22,0.078,39,13.430128205128204
Haywood Highsmith,1629312,PHX,0.328,-0.066,0.394,,,,10,12.971428571428572
Tyrese Proctor,1642878,CLE,0.091,-1.386,1.477,-1.275,-1.749,0.474,72,10.902333333333333
Nicolas Batum,201587,LAC,-6.125,-4.558,-1.568,-0.067,-0.282,0.215,78,17.49481981981982
MarJon Beauchamp,1630699,PHI,-0.114,-1.689,1.576,0.155,-1.521,1.676,25,14.008333333333333
Jabari Walker,1631133,PHI,1.125,-0.531,1.656,0.283,-0.643,0.926,75,11.90078125
Mac McClung,1630644,CHI,-1.977,-0.939,-1.038,,,,13,12.660416666666666
Carter Bryant,1642868,SAS,-0.347,-1.037,0.69,1.455,-0.983,2.438,82,11.519248826291081
Kevin Love,201567,UTA,0.21,1.615,-1.405,-1.06,1.07,-2.13,70,16.562612612612615
Tyler Kolek,1642278,NYK,2.151,-0.54,2.691,2.768,-0.428,3.196,79,11.728763440860215
Marcus Sasser,1631204,DET,5.605,1.329,4.275,6.173,1.522,4.651,56,12.013157894736842
Jarred Vanderbilt,1629020,LAL,-2.228,-0.274,-1.954,1.877,0.998,0.879,82,17.35025641025641
Mike Conley,201144,MIN,3.168,2.994,0.174,1.84,1.059,0.781,70,18.358024691358025
Hugo González,1642864,BOS,6.909,2.31,4.599,5.452,1.498,3.954,82,14.647747747747749
