
============================================================
BACKFILLING HISTORICAL AP POLLS
============================================================

  # 2 UCLA (matched from 'UCLA')
  # 3 Kansas (matched from 'Kansas')
  # 4 Baylor (matched from 'Baylor')
  # 5 Duke (matched from 'Duke')
  # 6 Kentucky (matched from 'Kentucky')
  # 7 North Carolina (matched from 'North Carolina')
  # 8 Gonzaga (matched from 'Gonzaga')
  # 9 Indiana (matched from 'Indiana')
  #10 Creighton (matched from 'Creighton')
  #11 Louisville (matched from 'Louisville')
  #12 West Virginia (matched from 'West Virginia')
  #13 Virginia (matched from 'Virginia')
  #14 Wisconsin (matched from 'Wisconsin')
  #15 Purdue (matched from 'Purdue')
  #16 South Carolina (matched from 'South Carolina')
  #17 Xavier (matched from 'Xavier')
  #18 Butler (matched from 'Butler')
  #19 Arizona (matched from 'Arizona')
  #20 Saint Mary's (matched from 'Saint Mary's (CA)')
  #21 Notre Dame (matched from 'Notre Dame')
  #22 Oregon (matched from 'Oregon')
  #23 Florida St. (matched from 'Florida St.')
  #24 USC (matched from 'Southern California')
  #25 Cincinnati (matched from 'Cincinnati')
✓ Updated 25 teams for 2017

Fetching 2018 AP Polls: https://www.sports-reference.com/cbb/seasons/2018-polls.html
  # 1 Villanova (matched from 'Villanova')
  # 2 Michigan St. (matched from 'Michigan St.')
  # 3 Wichita St. (matched from 'Wichita St.')
  # 4 Duke (matched from 'Duke')
  # 5 Arizona St. (matched from 'Arizona St.')
  # 6 Miami (FL) (matched from 'Miami (FL)')
  # 7 North Carolina (matched from 'North Carolina')
  # 8 Kentucky (matched from 'Kentucky')
  # 9 Texas A&M (matched from 'Texas A&M')
  #10 Xavier (matched from 'Xavier')
  #11 West Virginia (matched from 'West Virginia')
  #12 Gonzaga (matched from 'Gonzaga')
  #13 Kansas (matched from 'Kansas')
  #14 TCU (matched from 'TCU')
  #15 Seton Hall (matched from 'Seton Hall')
  #16 Virginia (matched from 'Virginia')
  #17 Purdue (matched from 'Purdue')
  #18 Notre Dame (matched from 'Notre Dame')
  #19 Florida St. (matched from 'Florida St.')
  #20 Tennessee (matched from 'Tennessee')
  #21 Baylor (matched from 'Baylor')
  #22 Florida (matched from 'Florida')
  #23 Arizona (matched from 'Arizona')
  #24 Texas Tech (matched from 'Texas Tech')
  #25 Cincinnati (matched from 'Cincinnati')
✓ Updated 25 teams for 2018

Fetching 2019 AP Polls: https://www.sports-reference.com/cbb/seasons/2019-polls.html
  # 1 Kansas (matched from 'Kansas')
  # 2 Duke (matched from 'Duke')
  # 3 Tennessee (matched from 'Tennessee')
  # 4 Gonzaga (matched from 'Gonzaga')
  # 5 Michigan (matched from 'Michigan')
  # 6 Virginia (matched from 'Virginia')
  # 7 Nevada (matched from 'Nevada')
  # 8 Auburn (matched from 'Auburn')
  # 9 Michigan St. (matched from 'Michigan St.')
  #10 Florida St. (matched from 'Florida St.')
  #11 Texas Tech (matched from 'Texas Tech')
  #12 North Carolina (matched from 'North Carolina')
  #13 Virginia Tech (matched from 'Virginia Tech')
  #14 Buffalo (matched from 'Buffalo')
  #15 Ohio St. (matched from 'Ohio St.')
  #16 Wisconsin (matched from 'Wisconsin')
  #17 Villanova (matched from 'Villanova')
  #18 Mississippi St. (matched from 'Mississippi St.')
  #19 Kentucky (matched from 'Kentucky')
  #20 Arizona St. (matched from 'Arizona St.')
  #21 Marquette (matched from 'Marquette')
  #22 Iowa (matched from 'Iowa')
  #23 Furman (matched from 'Furman')
  #24 Houston (matched from 'Houston')
  #25 Kansas St. (matched from 'Kansas St.')
  #25 Indiana (matched from 'Indiana')
  #25 Syracuse (matched from 'Syracuse')
✓ Updated 27 teams for 2019

Fetching 2020 AP Polls: https://www.sports-reference.com/cbb/seasons/2020-polls.html
  # 1 Louisville (matched from 'Louisville')
  # 2 Kansas (matched from 'Kansas')
  # 3 Ohio St. (matched from 'Ohio St.')
  # 4 Maryland (matched from 'Maryland')
  # 5 Michigan (matched from 'Michigan')
  # 6 Gonzaga (matched from 'Gonzaga')
  # 7 Duke (matched from 'Duke')
  # 8 Kentucky (matched from 'Kentucky')
  # 9 Virginia (matched from 'Virginia')
  #10 Oregon (matched from 'Oregon')
  #11 Baylor (matched from 'Baylor')
  #12 Auburn (matched from 'Auburn')
  #13 Memphis (matched from 'Memphis')
  #14 Dayton (matched from 'Dayton')
  #15 Arizona (matched from 'Arizona')
  #16 Michigan St. (matched from 'Michigan St.')
  #17 North Carolina (matched from 'North Carolina')
  #18 Butler (matched from 'Butler')
  #19 Tennessee (matched from 'Tennessee')
  #20 Villanova (matched from 'Villanova')
  #21 Florida St. (matched from 'Florida St.')
  #22 Seton Hall (matched from 'Seton Hall')
  #23 Xavier (matched from 'Xavier')
  #24 Colorado (matched from 'Colorado')
  #25 San Diego St. (matched from 'San Diego St.')
✓ Updated 25 teams for 2020

Fetching 2021 AP Polls: https://www.sports-reference.com/cbb/seasons/2021-polls.html
  # 1 Gonzaga (matched from 'Gonzaga')
