player_name,team,season,games_played,minutes,PER,USG_pct,WS,WS48,BPM,OBPM,DBPM,VORP
Josh Okogie,PHO,2023,72.0,1350.0,13.3,17.7,2.8,0.101,-0.2,-0.8,0.5,0.6
Devonte' Graham,2TM,2023,73.0,1338.0,12.5,17.1,2.5,0.091,-0.1,0.1,-0.2,0.6
Terrence Ross,2TM,2023,63.0,1330.0,10.2,16.8,1.6,0.059,-2.1,-1.8,-0.3,0.0
Luke Kennard,2TM,2023,59.0,1315.0,13.0,14.5,3.4,0.124,0.5,0.6,-0.1,0.8
Doug McDermott,SAS,2023,64.0,1314.0,11.1,19.2,1.0,0.035,-3.2,-0.7,-2.5,-0.4
Talen Horton-Tucker,UTA,2023,65.0,1313.0,13.7,25.9,0.8,0.029,-1.6,-1.1,-0.5,0.2
Jose Alvarado,NOP,2023,61.0,1310.0,11.8,19.8,1.8,0.066,-1.2,-2.0,0.7,0.3
Aaron Wiggins,OKC,2023,70.0,1297.0,12.2,14.5,2.6,0.097,-2.1,-1.5,-0.5,0.0
Lonnie Walker IV,LAL,2023,56.0,1297.0,12.2,20.2,1.8,0.066,-1.4,-0.9,-0.5,0.2
Sam Hauser,BOS,2023,80.0,1290.0,12.7,14.7,3.4,0.128,1.0,0.6,0.4,1.0
Jalen Smith,IND,2023,68.0,1279.0,15.9,21.0,2.3,0.085,-2.1,-0.9,-1.1,0.0
LaMelo Ball,CHO,2023,36.0,1268.0,17.9,30.0,1.8,0.068,2.4,3.2,-0.8,1.4
David Roddy,MEM,2023,70.0,1258.0,8.8,16.7,1.1,0.043,-3.9,-3.2,-0.7,-0.6
Jaylen Nowell,MIN,2023,65.0,1252.0,13.7,25.0,1.2,0.046,-2.5,-1.5,-1.0,-0.2
Naz Reid,MIN,2023,68.0,1251.0,18.5,24.8,3.0,0.114,1.0,0.3,0.8,1.0
Trey Lyles,SAC,2023,74.0,1247.0,14.2,18.1,2.6,0.098,-1.0,0.0,-0.9,0.3
Jalen Suggs,ORL,2023,53.0,1246.0,12.5,20.3,1.4,0.053,-1.0,-1.8,0.8,0.3
Kevin Love,2TM,2023,62.0,1240.0,13.1,19.2,2.6,0.099,0.6,0.2,0.4,0.8
Cory Joseph,DET,2023,62.0,1227.0,12.1,15.2,1.8,0.07,-1.5,-0.7,-0.8,0.2
Delon Wright,WAS,2023,50.0,1221.0,16.3,12.9,3.7,0.146,3.4,0.4,3.1,1.7
Nick Richards,CHO,2023,65.0,1217.0,18.3,15.6,4.2,0.165,-1.3,-1.0,-0.2,0.2
Seth Curry,BRK,2023,61.0,1211.0,12.3,19.2,1.8,0.07,-2.1,-1.2,-0.9,0.0
Ochai Agbaji,UTA,2023,59.0,1209.0,9.5,15.8,1.3,0.053,-3.0,-1.7,-1.4,-0.3
Kenrich Williams,OKC,2023,53.0,1206.0,14.4,13.7,3.3,0.133,0.5,0.1,0.4,0.8
Matisse Thybulle,2TM,2023,71.0,1200.0,10.5,10.6,2.1,0.086,-0.5,-2.7,2.2,0.4
Isaiah Livers,DET,2023,52.0,1199.0,8.4,11.9,1.0,0.041,-2.4,-2.1,-0.3,-0.1
Cameron Johnson,2TM,2023,42.0,1199.0,17.1,20.6,3.5,0.142,2.6,2.0,0.6,1.4
Anthony Lamb,GSW,2023,62.0,1195.0,10.9,13.8,2.4,0.096,-1.1,-1.6,0.4,0.3
Taurean Prince,MIN,2023,54.0,1192.0,10.0,17.3,1.3,0.052,-3.3,-2.6,-0.6,-0.4
Andrew Wiggins,GSW,2023,37.0,1190.0,14.7,21.5,2.3,0.091,-0.5,-0.1,-0.4,0.5
Jordan Nwora,2TM,2023,62.0,1188.0,12.2,19.4,1.5,0.06,-2.1,-0.8,-1.3,0.0
Gary Harris,ORL,2023,48.0,1184.0,10.5,12.6,2.3,0.095,-0.7,-1.4,0.7,0.4
Tre Mann,OKC,2023,67.0,1183.0,10.0,20.7,0.5,0.021,-3.9,-3.0,-1.0,-0.6
Trendon Watford,POR,2023,62.0,1182.0,13.6,16.1,2.1,0.084,-1.8,-1.4,-0.4,0.1
Christian Braun,DEN,2023,76.0,1181.0,10.3,13.0,1.9,0.079,-2.4,-2.5,0.1,-0.1
Xavier Tillman Sr.,MEM,2023,61.0,1180.0,17.3,13.7,4.2,0.171,1.9,0.3,1.7,1.2
Devin Vassell,SAS,2023,38.0,1178.0,15.5,24.4,1.2,0.051,0.4,1.3,-0.9,0.7
Collin Sexton,UTA,2023,48.0,1145.0,15.9,23.4,2.5,0.105,-1.3,0.1,-1.5,0.2
Precious Achiuwa,TOR,2023,55.0,1140.0,15.2,19.4,2.2,0.093,-2.3,-1.4,-0.8,-0.1
Steven Adams,MEM,2023,42.0,1133.0,17.5,14.6,3.4,0.144,0.6,-0.3,0.9,0.7
Alec Burks,DET,2023,51.0,1122.0,16.5,22.8,2.5,0.109,1.2,1.8,-0.5,0.9
Lamar Stevens,CLE,2023,62.0,1120.0,9.5,13.6,1.9,0.08,-2.8,-3.0,0.2,-0.2
Moritz Wagner,ORL,2023,57.0,1109.0,17.4,21.1,3.4,0.149,0.6,0.4,0.2,0.7
Jordan Goodwin,WAS,2023,62.0,1106.0,14.8,17.3,2.2,0.097,0.7,-0.7,1.4,0.8
Victor Oladipo,MIA,2023,42.0,1106.0,10.6,21.1,0.6,0.024,-2.1,-2.9,0.8,0.0
Ben Simmons,BRK,2023,42.0,1105.0,13.4,14.3,2.2,0.097,0.4,-2.2,2.6,0.7
Jeff Green,DEN,2023,56.0,1091.0,11.0,17.0,1.7,0.074,-3.4,-2.4,-1.0,-0.4
Brandon Clarke,MEM,2023,56.0,1090.0,20.0,17.7,4.5,0.199,2.5,0.8,1.8,1.3
Bones Hyland,2TM,2023,56.0,1085.0,14.9,28.0,1.4,0.062,-0.8,0.4,-1.2,0.3
Oshae Brissett,IND,2023,65.0,1083.0,10.6,16.1,1.1,0.05,-3.2,-2.0,-1.2,-0.3
Thomas Bryant,2TM,2023,59.0,1081.0,19.7,18.2,4.1,0.183,0.6,1.1,-0.5,0.7
Obi Toppin,NYK,2023,67.0,1050.0,13.6,19.5,2.1,0.095,-0.5,0.3,-0.8,0.4
Joe Ingles,MIL,2023,46.0,1044.0,10.7,12.6,2.3,0.107,-0.7,-1.6,0.8,0.3
Jalen Johnson,ATL,2023,70.0,1042.0,14.1,16.0,2.1,0.099,0.3,-1.2,1.5,0.6
Isaiah Jackson,IND,2023,63.0,1042.0,17.5,17.4,2.7,0.124,-0.8,-1.7,0.9,0.3
Dyson Daniels,NOP,2023,59.0,1042.0,8.8,11.6,1.3,0.061,-1.8,-3.4,1.6,0.0
Wenyen Gabriel,LAL,2023,68.0,1024.0,14.4,14.1,2.8,0.132,-2.2,-2.3,0.1,-0.1
Austin Rivers,MIN,2023,52.0,1016.0,7.4,10.5,1.3,0.061,-2.8,-3.3,0.5,-0.2
Hamidou Diallo,DET,2023,56.0,996.0,15.7,21.8,1.3,0.063,-1.4,-1.8,0.4,0.1
Will Barton,2TM,2023,56.0,993.0,10.0,18.9,0.4,0.021,-2.6,-2.0,-0.6,-0.2
Marvin Bagley III,DET,2023,42.0,990.0,17.2,20.4,2.0,0.095,-0.9,0.3,-1.2,0.3
Cam Reddish,2TM,2023,40.0,990.0,10.6,17.1,0.9,0.046,-3.4,-2.6,-0.8,-0.4
Jock Landale,PHO,2023,69.0,979.0,16.4,19.3,2.7,0.132,-1.1,-0.7,-0.4,0.2
Nassir Little,POR,2023,54.0,976.0,10.2,16.0,0.7,0.032,-3.0,-1.6,-1.4,-0.3
Usman Garuba,HOU,2023,75.0,970.0,12.9,10.5,1.8,0.091,-1.4,-2.0,0.6,0.2
JT Thor,CHO,2023,69.0,969.0,7.0,13.1,0.2,0.009,-4.7,-4.3,-0.4,-0.7
Haywood Highsmith,MIA,2023,54.0,969.0,8.5,12.5,0.9,0.046,-3.1,-3.7,0.7,-0.3
Cameron Payne,PHO,2023,48.0,968.0,13.2,24.8,1.1,0.053,-1.2,-0.5,-0.7,0.2
