player_name,player_id,team_id,minutes,usg_pct,box_bpr_old,box_bpr_new,box_obpr_new,box_dbpr_new,BPM,divergence_old,divergence_new
Dennis Schröder,263,7,111.91666666666667,0.21,-4.29,-4.642,-3.089,-1.553,-2.8,-1.49,-1.842
Dylan Harper,380,30,1557.9833333333333,0.211,4.709,4.846,1.744,3.102,1.4,3.309,3.446
Ty Jerome,533,28,564.4722222222223,0.332,-0.677,1.01,4.708,-3.698,7.7,-8.377,-6.69
Wendell Carter Jr.,192,14,236.68333333333334,0.156,1.812,1.154,-0.486,1.64,-0.6,2.412,1.754
Derik Queen,128,29,2023.4333333333334,0.214,-2.994,-2.917,-1.517,-1.4,-0.8,-2.194,-2.117
Miles McBride,86,3,155.51666666666668,0.174,5.432,6.454,3.977,2.477,1.2,4.232,5.254
Donovan Clingan,276,19,106.88333333333333,0.163,1.153,0.968,0.776,0.192,3.0,-1.847,-2.032
Jaylen Wells,109,28,2005.3903381642513,0.189,-0.844,-0.656,0.001,-0.657,-3.1,2.256,2.444
Dyson Daniels,307,11,165.75,0.157,4.302,5.612,2.641,2.971,1.3,3.002,4.312
Klay Thompson,362,26,1540.236956521739,0.214,0.8,0.164,-0.805,0.969,-1.4,2.2,1.564
Myles Turner,331,10,2019.5070422535214,0.181,-0.344,-0.354,0.019,-0.373,-0.9,0.556,0.546
Mark Williams,250,24,1463.2688888888888,0.167,0.874,0.111,-0.847,0.958,2.0,-1.126,-1.889
Maxime Raynaud,264,25,2176.1765765765767,0.178,-2.143,-2.392,-0.792,-1.6,-2.4,0.257,0.008
Sandro Mamukelashvili,323,5,103.53333333333333,0.181,3.772,3.753,1.63,2.123,2.8,0.972,0.953
Christian Braun,390,16,186.88333333333333,0.142,2.105,3.769,3.199,0.57,-1.2,3.305,4.969
Aaron Nesmith,402,9,1661.2918518518518,0.19,-1.546,-1.179,-0.238,-0.941,-3.4,1.854,2.221
Nic Claxton,232,2,2031.6922705314012,0.175,-1.638,-1.961,-0.578,-1.383,0.9,-2.538,-2.861
De'Anthony Melton,511,21,1240.1265306122448,0.244,1.972,2.9,0.646,2.254,-2.5,4.472,5.4
Cedric Coward,114,28,1958.7774193548387,0.207,1.932,1.8,1.105,0.695,-0.2,2.132,2.0
Rui Hachimura,2,23,1983.2475490196077,0.149,0.774,2.089,1.676,0.413,-2.2,2.974,4.289
Kyle Filipowski,161,20,1847.693722943723,0.197,-2.0,-1.883,0.106,-1.989,-1.1,-0.9,-0.783
Julian Champagnie,373,30,2265.9666666666667,0.146,5.675,6.521,3.2,3.321,1.4,4.275,5.121
Jarace Walker,411,9,2056.1929824561403,0.2,-3.132,-3.225,-2.24,-0.985,-2.4,-0.732,-0.825
Malik Monk,265,25,1561.5991935483871,0.234,-0.882,-1.512,-0.339,-1.173,-1.3,0.418,-0.212
