player_name,team,minutes,USG_pct,bpr,z_bpr,z_consensus,divergence,abs_div,BPM,LEBRON,WS48,PER
Donovan Clingan,POR,2094.0,16.9,2.983,0.715,1.713,-0.998,0.998,3.0,3.407,0.197,20.9
Ivica Zubac,LAC,1328.0,19.0,-0.617,-0.341,0.645,-0.985,0.985,0.1,-0.136,0.146,18.8
Kobe Brown,2TM,963.0,15.6,-5.22,-1.691,-0.706,-0.985,0.985,-2.7,-2.938,0.066,12.0
Ousmane Dieng,OKC,295.0,14.9,-4.111,-1.366,-0.399,-0.967,0.967,-1.4,-1.62,0.098,10.0
Kobe Brown,LAC,295.0,16.6,-5.22,-1.691,-0.761,-0.93,0.93,-2.3,-2.938,0.056,11.2
Ivica Zubac,2TM,1446.0,19.2,-0.617,-0.341,0.571,-0.912,0.912,-0.3,-0.136,0.139,18.6
DeMar DeRozan,SAC,2406.0,22.8,-1.547,-0.614,0.287,-0.9,0.9,-0.1,-1.154,0.112,17.8
Walter Clayton,2TM,1410.0,18.5,-6.382,-2.032,-1.136,-0.896,0.896,-4.3,-2.68,0.009,10.3
Isaiah Joe,OKC,1507.0,18.4,0.636,0.027,0.923,-0.896,0.896,2.5,0.93,0.176,15.5
Oscar Tshiebwe,UTA,448.0,17.2,-0.717,-0.37,0.521,-0.891,0.891,-1.8,-0.345,0.141,20.2
Jonathan Isaac,ORL,521.0,12.4,-2.879,-1.004,-0.131,-0.874,0.874,-1.6,0.169,0.085,11.5
Khris Middleton,WAS,827.0,19.6,-5.333,-1.724,-0.856,-0.868,0.868,-4.0,-1.359,0.009,11.5
De'Andre Hunter,CLE,1125.0,22.9,-4.078,-1.356,-0.493,-0.863,0.863,-3.4,-0.754,0.056,12.1
Jamir Watkins,WAS,1032.0,15.1,-4.461,-1.468,-0.62,-0.848,0.848,-3.3,-1.392,0.049,11.8
Danny Wolf,BRK,1187.0,20.6,-4.059,-1.35,-0.507,-0.844,0.844,-2.5,-0.757,0.032,12.3
Josh Giddey,CHI,1731.0,24.4,-0.022,-0.166,0.671,-0.838,0.838,2.7,0.513,0.09,18.0
Cam Spencer,MEM,1714.0,17.2,0.142,-0.118,0.719,-0.837,0.837,2.2,-0.256,0.149,17.2
Santi Aldama,MEM,1198.0,20.2,-1.26,-0.529,0.3,-0.829,0.829,1.7,-0.9,0.092,16.3
Paul George,PHI,1135.0,23.3,0.366,-0.052,0.761,-0.813,0.813,1.7,1.746,0.108,16.7
Khris Middleton,2TM,1439.0,20.6,-5.333,-1.724,-0.928,-0.796,0.796,-4.4,-1.359,0.008,10.9
Marvin Bagley III,DAL,470.0,18.0,0.709,0.048,0.836,-0.788,0.788,1.0,-0.231,0.165,19.7
Alex Sarr,WAS,1305.0,25.7,-0.979,-0.447,0.34,-0.787,0.787,0.7,-0.347,0.059,19.4
Isaiah Stewart,DET,1317.0,16.6,-0.813,-0.398,0.384,-0.782,0.782,0.0,-0.527,0.149,15.2
Sion James,CHO,1843.0,11.0,-3.559,-1.204,-0.433,-0.77,0.77,-2.0,-0.276,0.08,8.3
LeBron James,LAL,1989.0,27.2,2.53,0.582,1.348,-0.765,0.765,3.5,2.491,0.131,20.8
Taylor Hendricks,UTA,492.0,13.5,-5.053,-1.642,-0.878,-0.765,0.765,-3.5,-2.0,0.034,10.2
Kyle Kuzma,MIL,1806.0,21.8,-3.71,-1.248,-0.484,-0.764,0.764,-2.3,-2.025,0.051,14.1
Ja Morant,MEM,569.0,32.5,-1.681,-0.653,0.107,-0.76,0.76,-1.5,1.478,0.024,16.6
Bennedict Mathurin,2TM,1620.0,25.2,-2.494,-0.891,-0.141,-0.751,0.751,-2.5,-0.031,0.062,14.7
Marvin Bagley III,2TM,1201.0,18.6,0.709,0.048,0.787,-0.739,0.739,0.8,-0.231,0.15,20.2
