player_name,team,minutes,USG_pct,bpr,z_bpr,z_consensus,divergence,abs_div,BPM,LEBRON,WS48,PER
Brandon Ingram,TOR,2604.0,26.9,4.067,1.033,0.202,0.832,0.832,0.5,-0.663,0.084,16.3
Ochai Agbaji,TOR,650.0,13.3,-0.273,-0.24,-1.08,0.84,0.84,-4.7,-2.028,0.048,7.5
Dominick Barlow,PHI,1689.0,12.8,3.313,0.812,-0.029,0.841,0.841,-1.1,-0.903,0.112,13.2
Bam Adebayo,MIA,2365.0,25.0,7.635,2.08,1.233,0.847,0.847,2.0,3.486,0.129,18.7
Amir Coffey,2TM,490.0,11.9,1.202,0.193,-0.663,0.856,0.856,-3.1,-2.146,0.083,10.2
Will Richard,GSW,1377.0,13.0,2.525,0.581,-0.278,0.859,0.859,-1.7,-0.731,0.089,11.0
Rob Dillingham,2TM,970.0,23.1,-2.879,-1.004,-1.869,0.865,0.865,-7.3,-3.154,-0.056,7.7
Bilal Coulibaly,WAS,1468.0,19.9,1.654,0.325,-0.544,0.87,0.87,-2.1,-1.73,0.031,13.5
Johnny Furphy,IND,643.0,12.8,0.898,0.104,-0.774,0.877,0.877,-3.7,-0.786,0.036,9.2
Adama-Alpha Bal,MEM,241.0,13.5,-0.106,-0.191,-1.076,0.885,0.885,-5.4,-2.963,0.065,9.6
Kennedy Chandler,UTA,355.0,20.7,0.803,0.076,-0.813,0.889,0.889,-5.7,-1.274,0.029,13.0
Jamison Battle,TOR,517.0,14.1,2.035,0.437,-0.46,0.897,0.897,-2.6,,0.086,10.6
Brandon Miller,CHO,1968.0,28.1,6.031,1.609,0.703,0.906,0.906,1.6,1.325,0.109,16.8
Lindy Waters III,SAS,285.0,14.2,0.605,0.018,-0.893,0.911,0.911,-3.2,,0.063,7.5
Quenton Jackson,IND,897.0,20.9,2.971,0.712,-0.201,0.913,0.913,-1.8,-1.161,0.076,14.4
Quentin Grimes,PHI,2206.0,19.0,2.592,0.601,-0.316,0.917,0.917,-1.6,-1.532,0.078,12.9
Chris Paul,LAC,228.0,14.2,0.219,-0.096,-1.015,0.92,0.92,-4.2,-1.196,0.017,8.1
Gabe Vincent,2TM,879.0,12.3,-0.683,-0.36,-1.284,0.923,0.923,-4.3,-2.914,0.035,6.5
Jordan Walsh,BOS,1212.0,11.7,4.692,1.217,0.286,0.93,0.93,0.2,-0.494,0.15,13.1
Jonathan Kuminga,2TM,830.0,23.4,3.1,0.75,-0.19,0.94,0.94,-2.0,-0.38,0.059,14.2
Jeremiah Robinson-Earl,2TM,361.0,14.1,0.263,-0.083,-1.032,0.949,0.949,-5.2,-1.611,0.03,9.3
Cody Williams,UTA,1631.0,16.0,-0.781,-0.389,-1.34,0.951,0.951,-5.5,-2.994,0.004,9.6
Kobe Sanders,LAC,1351.0,16.3,1.267,0.212,-0.742,0.954,0.954,-2.9,-1.802,0.051,10.0
Rui Hachimura,LAL,1927.0,15.2,2.015,0.431,-0.532,0.964,0.964,-2.2,-2.237,0.08,11.6
Caris LeVert,DET,1154.0,18.4,2.583,0.598,-0.376,0.974,0.974,-0.4,-1.475,0.066,10.9
CJ McCollum,2TM,2264.0,25.7,4.128,1.051,0.076,0.975,0.975,-0.3,-0.306,0.063,15.9
Ron Holland,DET,1551.0,18.9,3.081,0.744,-0.232,0.976,0.976,-2.0,-0.459,0.087,11.7
Jalen Williams,OKC,936.0,26.2,7.68,2.093,1.105,0.988,0.988,2.1,1.597,0.156,19.0
Malik Monk,SAC,1364.0,24.0,2.355,0.531,-0.457,0.989,0.989,-1.3,-1.96,0.034,14.2
AJ Johnson,DAL,240.0,20.5,-0.8,-0.394,-1.384,0.989,0.989,-7.4,0.574,-0.049,6.7
Scotty Pippen Jr.,MEM,212.0,26.1,2.423,0.551,-0.463,1.015,1.015,-2.8,-1.068,0.025,14.7
Steven Adams,HOU,730.0,12.1,5.117,1.341,0.324,1.017,1.017,-0.5,-0.672,0.141,15.8
Isaiah Hartenstein,OKC,1137.0,16.1,10.441,2.903,1.876,1.027,1.027,4.2,3.554,0.223,19.8
Jaden Hardy,DAL,428.0,23.3,0.572,0.008,-1.022,1.03,1.03,-3.8,-2.372,0.012,10.6
Paul Reed,DET,901.0,20.6,11.155,3.113,2.074,1.038,1.038,5.3,2.024,0.239,24.2
Gabe Vincent,LAL,559.0,11.5,-0.683,-0.36,-1.416,1.056,1.056,-4.8,-2.914,0.027,5.5
Jared McCain,2TM,1160.0,20.7,1.798,0.368,-0.69,1.058,1.058,-2.4,-2.656,0.06,11.6
Jose Alvarado,NOP,896.0,15.7,2.327,0.523,-0.538,1.061,1.061,-2.0,-1.452,0.055,11.1
Maxi Kleber,LAL,461.0,9.6,0.814,0.079,-0.984,1.063,1.063,-3.9,-2.503,0.063,8.1
Jeremiah Robinson-Earl,IND,300.0,14.0,0.263,-0.083,-1.147,1.064,1.064,-5.4,-1.611,0.016,8.6
Jaylen Clark,MIN,888.0,13.3,2.959,0.708,-0.365,1.074,1.074,-2.4,-0.683,0.09,10.3
Killian Hayes,SAC,406.0,18.7,0.211,-0.098,-1.181,1.083,1.083,-6.0,-0.205,-0.031,8.8
KJ Simpson,2TM,257.0,21.8,0.018,-0.154,-1.246,1.091,1.091,-5.1,-1.135,-0.023,8.1
Moussa Cisse,DAL,530.0,14.3,4.743,1.232,0.138,1.094,1.094,-2.9,0.056,0.116,16.0
DeJon Jarreau,MEM,231.0,21.4,-0.236,-0.229,-1.326,1.097,1.097,-5.2,-1.964,-0.035,9.7
Ben Saraf,BRK,916.0,21.0,-2.275,-0.827,-1.927,1.1,1.1,-7.3,-3.575,-0.057,7.8
Jamaree Bouyea,PHO,644.0,18.5,4.435,1.141,0.028,1.114,1.114,-0.4,-0.269,0.086,13.5
Jaylen Wells,MEM,1821.0,19.3,2.558,0.591,-0.539,1.13,1.13,-3.1,-0.599,0.042,11.5
Rob Dillingham,MIN,326.0,24.0,-2.879,-1.004,-2.138,1.133,1.133,-8.2,-3.154,-0.079,6.0
Kris Dunn,LAC,2230.0,12.4,4.312,1.105,-0.037,1.142,1.142,-0.8,0.452,0.085,11.3
Aaron Gordon,DEN,1005.0,21.9,7.525,2.048,0.892,1.155,1.155,1.7,0.61,0.153,18.5
Jalen Green,PHO,828.0,31.9,3.621,0.902,-0.256,1.158,1.158,-1.1,-0.448,0.019,14.8
Terance Mann,BRK,1529.0,13.5,1.651,0.325,-0.84,1.164,1.164,-3.4,-2.437,0.056,10.2
KJ Simpson,CHO,223.0,22.8,0.018,-0.154,-1.321,1.166,1.166,-5.3,-1.135,-0.033,7.8
Bronny James,LAL,375.0,16.7,0.667,0.036,-1.145,1.181,1.181,-4.3,,0.018,9.0
Ryan Nembhard,DAL,1171.0,17.5,0.941,0.116,-1.069,1.185,1.185,-4.1,-3.215,0.031,10.9
Jaden Hardy,2TM,898.0,24.4,0.572,0.008,-1.177,1.185,1.185,-4.8,-2.372,-0.01,10.9
Matisse Thybulle,POR,480.0,14.7,7.308,1.984,0.793,1.191,1.191,4.4,0.783,0.126,14.5
CJ McCollum,WAS,1082.0,24.4,4.128,1.051,-0.15,1.202,1.202,-1.5,-0.306,0.042,15.2
Aaron Nesmith,IND,1335.0,19.8,2.248,0.5,-0.715,1.215,1.215,-3.4,-0.915,0.026,10.8
Javonte Green,DET,1446.0,14.8,7.137,1.934,0.688,1.246,1.246,2.1,0.663,0.156,14.1
Sam Hauser,BOS,1934.0,14.5,5.813,1.545,0.293,1.252,1.252,0.6,0.587,0.124,11.9
Nae'Qwan Tomlin,CLE,1004.0,15.5,4.445,1.144,-0.108,1.252,1.252,-2.1,-0.61,0.107,12.9
Lucas Williamson,MEM,224.0,16.4,-0.221,-0.225,-1.497,1.272,1.272,-7.6,-2.245,0.005,8.0
Luguentz Dort,OKC,1849.0,14.1,3.125,0.757,-0.517,1.274,1.274,-2.0,-0.815,0.078,8.3
Amir Coffey,MIL,265.0,10.9,1.202,0.193,-1.085,1.278,1.278,-5.2,-2.146,0.048,8.4
Pascal Siakam,IND,2057.0,30.1,6.592,1.774,0.488,1.286,1.286,0.7,0.951,0.062,18.6
Herbert Jones,NOP,1588.0,15.2,2.497,0.573,-0.716,1.289,1.289,-3.1,-0.274,0.022,9.1
Jalen Smith,CHI,1095.0,19.0,6.709,1.808,0.519,1.289,1.289,-0.7,1.296,0.114,16.6
Donte DiVincenzo,MIN,2494.0,16.9,5.803,1.543,0.241,1.301,1.301,0.8,0.556,0.1,12.5
Bogdan Bogdanović,LAC,452.0,18.6,1.785,0.364,-0.95,1.314,1.314,-3.1,-1.799,0.02,8.9
Jonathan Kuminga,GSW,476.0,24.0,3.1,0.75,-0.578,1.327,1.327,-3.6,-0.38,0.021,12.5
Jaden Hardy,WAS,470.0,25.4,0.572,0.008,-1.322,1.33,1.33,-5.7,-2.372,-0.03,11.1
Dean Wade,CLE,1318.0,9.9,5.672,1.504,0.167,1.337,1.337,0.2,0.63,0.114,10.9
Collin Murray-Boyles,TOR,1246.0,15.5,7.572,2.061,0.717,1.344,1.344,1.0,0.617,0.154,16.4
AJ Johnson,2TM,454.0,20.6,-0.8,-0.394,-1.741,1.346,1.346,-8.9,0.574,-0.09,5.6
Jalen Pickett,DEN,807.0,14.8,2.542,0.586,-0.794,1.38,1.38,-2.3,-2.886,0.059,10.3
Isaac Okoro,CHI,1695.0,13.6,2.479,0.567,-0.844,1.411,1.411,-3.8,-2.212,0.061,9.8
Cedric Coward,MEM,1598.0,21.5,5.33,1.404,-0.019,1.423,1.423,-0.2,-1.173,0.076,15.3
Marcus Smart,LAL,1769.0,15.4,4.218,1.078,-0.348,1.426,1.426,-2.2,0.549,0.054,9.9
Devin Vassell,SAS,2044.0,18.0,6.154,1.646,0.218,1.428,1.428,0.5,-0.084,0.115,13.0
Jared McCain,PHI,620.0,18.5,1.798,0.368,-1.074,1.442,1.442,-3.7,-2.656,0.024,9.4
Ryan Dunn,PHO,1355.0,13.7,5.26,1.383,-0.066,1.45,1.45,-0.9,-0.102,0.093,11.7
RayJ Dennis,3TM,206.0,21.4,-0.145,-0.202,-1.671,1.468,1.468,-6.0,-1.403,-0.072,6.2
Dalton Knecht,LAL,553.0,17.7,1.864,0.387,-1.113,1.5,1.5,-3.6,-3.698,0.038,10.1
Julian Champagnie,SAS,2266.0,15.2,7.761,2.117,0.596,1.521,1.521,1.4,1.54,0.132,13.1
Andre Jackson Jr.,MIL,408.0,17.8,0.983,0.129,-1.398,1.527,1.527,-7.1,0.197,-0.047,6.8
Daniss Jenkins,DET,1455.0,21.5,6.186,1.655,0.098,1.557,1.557,-0.7,0.182,0.095,13.4
Jamal Shead,TOR,1852.0,15.5,4.841,1.26,-0.31,1.571,1.571,-2.3,0.156,0.07,10.5
Jalen Wilson,BRK,859.0,18.2,1.577,0.303,-1.288,1.591,1.591,-5.6,-2.422,0.012,8.7
P.J. Washington,DAL,1736.0,20.1,5.012,1.311,-0.287,1.598,1.598,-1.6,-0.465,0.046,13.1
Marcus Sasser,DET,457.0,19.6,4.387,1.127,-0.478,1.605,1.605,-1.7,-2.122,0.085,11.2
Vince Williams Jr.,MEM,736.0,19.6,3.918,0.99,-0.633,1.622,1.622,-0.9,-1.32,0.01,10.8
Vince Williams Jr.,2TM,820.0,19.5,3.918,0.99,-0.655,1.645,1.645,-1.0,-1.32,0.008,10.7
Ajay Mitchell,OKC,1473.0,21.8,9.922,2.751,1.072,1.679,1.679,1.9,2.391,0.156,16.8
Tari Eason,HOU,1549.0,18.7,6.202,1.66,-0.029,1.688,1.688,-1.6,0.136,0.091,12.9
Rasheer Fleming,PHO,673.0,16.3,3.926,0.992,-0.715,1.707,1.707,-3.8,-1.284,0.055,10.2
Christian Braun,DEN,1399.0,14.8,6.294,1.687,-0.029,1.715,1.715,-1.2,-0.326,0.103,12.6
AJ Johnson,WAS,214.0,20.7,-0.8,-0.394,-2.142,1.748,1.748,-10.5,0.574,-0.137,4.3
Davion Mitchell,MIA,2000.0,13.6,6.778,1.829,0.005,1.824,1.824,-0.9,-0.086,0.104,12.1
Klay Thompson,DAL,1497.0,22.7,4.222,1.079,-0.766,1.844,1.844,-1.4,-2.461,0.018,11.4
Simone Fontecchio,MIA,1173.0,19.6,7.598,2.069,0.185,1.884,1.884,0.5,-0.386,0.106,13.8
Aaron Holiday,HOU,781.0,16.6,5.046,1.32,-0.565,1.886,1.886,-2.4,-1.967,0.088,10.1
Hugo González,BOS,1084.0,11.8,6.506,1.749,-0.183,1.931,1.931,-1.5,-0.132,0.099,10.2
Jaylon Tyson,CLE,1777.0,19.3,8.395,2.303,0.358,1.945,1.945,0.1,0.604,0.108,14.8
Micah Peavy,NOP,913.0,14.0,3.568,0.887,-1.092,1.978,1.978,-5.2,-1.327,0.02,8.3
Toby Okani,MEM,217.0,14.7,-0.128,-0.197,-2.257,2.06,2.06,-10.7,-2.549,-0.052,4.1
Yang Hansen,POR,300.0,19.9,-1.394,-0.569,-2.639,2.071,2.071,-9.5,,-0.075,3.7
Miles McBride,NYK,1080.0,18.2,9.258,2.556,0.446,2.11,2.11,1.2,0.971,0.119,13.1
Ethan Thompson,IND,653.0,15.7,4.686,1.215,-1.023,2.238,2.238,-4.9,-1.015,0.02,8.3
Nikola Jović,MIA,808.0,21.4,5.05,1.322,-0.979,2.3,2.3,-3.5,-1.459,0.001,9.5
Gradey Dick,TOR,1067.0,18.7,6.231,1.668,-0.801,2.469,2.469,-3.6,-2.484,0.064,10.7
Nique Clifford,SAC,1882.0,17.0,6.378,1.711,-1.136,2.847,2.847,-4.9,-1.112,-0.014,9.0
