player_name,player_id,bpr_new,bpr_old,box_bpr,bpm
Jaren Jackson Jr.,1628991,2.382,2.42,2.09,-0.8
Matisse Thybulle,1629680,2.375,1.51,5.885,4.4
Bobby Portis,1626171,2.365,3.039,-0.128,0.0
Jamir Watkins,1642364,2.345,2.971,-0.292,-3.3
Kasparas Jakučionis,1642857,2.337,2.546,1.424,-0.4
Deandre Ayton,1629028,2.337,2.34,2.383,-0.9
id=1642863,1642863,2.309,2.567,,
Goga Bitadze,1629048,2.286,2.182,2.902,2.8
Jonathan Isaac,1628371,2.27,2.918,-0.085,-1.6
Bryce McGowens,1631121,2.195,2.535,-0.3,-2.8
id=1642400,1642400,2.186,3.002,,
Josh Minott,1631169,2.178,2.315,1.513,3.0
Anthony Black,1641710,2.154,2.349,1.288,-0.6
id=1642434,1642434,2.07,2.808,,
Jamal Shead,1642347,2.047,1.968,4.41,-2.3
Maxime Raynaud,1642875,2.019,2.856,-3.287,-2.4
Michael Porter Jr.,1629008,1.997,2.353,0.151,3.0
Taurean Prince,1627752,1.986,2.224,1.124,-3.1
Paolo Banchero,1631094,1.975,2.564,0.365,1.4
Peyton Watson,1631212,1.958,2.023,3.121,-1.2
Luka Garza,1630568,1.929,1.778,4.183,2.4
Wendell Carter Jr.,1628976,1.929,1.791,2.711,-0.6
Micah Potter,1630695,1.847,2.404,0.153,0.7
Matas Buzelis,1641824,1.832,2.219,-0.737,-1.0
Jay Huff,1630643,1.799,2.325,0.352,0.4
Anthony Davis,203076,1.789,2.135,0.812,2.4
Desmond Bane,1630217,1.776,1.766,2.982,1.4
Isaiah Jackson,1630543,1.72,1.9,0.428,2.6
Svi Mykhailiuk,1629004,1.717,1.651,-0.066,-1.7
id=1641890,1641890,1.711,2.147,,
Dorian Finney-Smith,1627827,1.704,1.876,1.033,-4.3
Kevin Durant,201142,1.698,1.408,2.83,4.5
Klay Thompson,202691,1.689,1.959,-0.26,-1.4
Donovan Clingan,1642270,1.687,1.289,3.003,3.0
Will Richard,1642954,1.678,2.113,-0.726,-1.7
id=1631113,1631113,1.659,1.936,,
Jaxson Hayes,1629637,1.566,1.258,2.635,1.2
Jarred Vanderbilt,1629020,1.521,1.471,1.782,-1.5
id=1630574,1630574,1.519,1.809,,
id=1642354,1642354,1.478,1.921,,
Asa Newell,1642854,1.428,2.113,-0.211,-1.5
Cameron Payne,1626166,1.379,1.664,-1.568,0.3
Tre Johnson,1642848,1.364,2.243,-3.17,-5.0
Bones Hyland,1630538,1.333,0.691,4.152,1.7
id=1641747,1641747,1.294,1.685,,
id=1642355,1642355,1.275,1.614,,
id=203648,203648,1.259,1.797,,
T.J. McConnell,204456,1.237,1.237,0.081,2.5
Javon Small,1642914,1.223,1.599,-0.75,1.0
Rob Dillingham,1642265,1.212,1.644,-1.984,-6.8
Marvin Bagley III,1628963,1.204,1.467,-0.172,1.0
Kevin Love,201567,1.198,1.667,-1.014,0.2
Kenrich Williams,1629026,1.175,2.194,0.232,0.2
Kyle Filipowski,1642271,1.174,1.36,-1.459,-1.1
id=1630256,1630256,1.127,1.446,,
Bennedict Mathurin,1631097,1.123,1.082,1.225,-2.1
Kentavious Caldwell-Pope,203484,1.117,1.541,-0.122,-2.5
Jake LaRavia,1631222,1.114,1.374,1.353,-1.2
id=1630846,1630846,1.11,1.492,,
id=1642886,1642886,1.106,1.412,,
Garrison Mathews,1629726,1.097,0.98,1.919,
Ivica Zubac,1627826,1.071,1.186,-0.236,0.1
Luka Dončić,1629029,1.056,0.9,3.866,9.3
James Harden,201935,1.031,1.294,0.252,4.0
Kevon Looney,1626172,0.993,1.967,-1.762,-1.8
id=1631120,1631120,0.99,1.311,,
id=1629312,1629312,0.987,1.172,,
Cason Wallace,1641717,0.976,0.065,7.29,1.2
Jalen Duren,1631105,0.965,0.03,6.738,5.0
Collin Murray-Boyles,1642867,0.964,0.528,3.153,1.0
Killian Hayes,1630165,0.951,0.949,-0.356,-6.0
Jamal Murray,1627750,0.937,0.531,3.708,4.1
Leonard Miller,1631159,0.926,0.916,1.216,-0.6
Craig Porter Jr.,1641854,0.921,0.465,3.039,2.0
Tidjane Salaün,1642275,0.92,1.128,0.21,-0.8
id=1631103,1631103,0.901,1.135,,
Coby White,1629632,0.896,0.712,2.257,2.9
id=1641744,1641744,0.893,1.17,,
Ryan Kalkbrenner,1641750,0.882,1.209,0.055,1.8
Jaden Ivey,1631093,0.878,1.206,0.698,0.1
John Collins,1628381,0.875,0.945,0.802,-0.5
Julius Randle,203944,0.874,0.597,4.632,1.5
Olivier-Maxence Prosper,1641765,0.87,2.071,-3.461,-0.1
id=1641771,1641771,0.851,1.175,,
id=1642404,1642404,0.826,1.234,,
Jalen Wilson,1630592,0.808,1.675,-2.609,-5.6
id=1630658,1630658,0.8,1.118,,
Kyle Anderson,203937,0.792,1.021,-0.248,1.6
