player_id,espn_athlete_id,player_name,position,jersey,team_id,team_name,conference,gp,mpg,pts,reb,ast,stl,blk,tov,pf,fg_pct,fg3_pct,ft_pct,fga_pg,fg3a_pg,ftm_pg,fta_pg,oreb_pg,dreb_pg,efg_pct,ts_pct,ast_to,usg_pct,tov_pct,orb_pct,drb_pct,fta_rate,fg3_rate,blk_pct,stl_pct,ast_usg,on_court_secs_pg,on_court_pts_pg,on_court_def_pg,on_court_net_pg,on_court_ortg,on_court_drtg,on_court_net,on_court_efg_pct,on_court_tov_pct,on_court_orb_pct,on_court_ftr,on_court_opp_efg_pct,on_court_opp_tov_pct,on_court_drb_pct,on_court_opp_ftr,on_court_efg_margin,on_court_tov_edge,on_court_reb_edge,on_court_ftr_margin,on_court_ffi,o_mpir,d_mpir,mpir,bpr,obpr,dbpr,box_bpr,box_obpr,box_dbpr,preseason_obpr,preseason_dbpr,prior_mean_obpr,prior_mean_dbpr,prior_sd_obpr,prior_sd_dbpr,off_poss,def_poss,adj_team_off_eff_on,adj_team_def_eff_on,on_court_off_poss,on_court_def_poss,on_court_raw_oe,on_court_raw_de,on_court_adj_o,on_court_adj_d,on_court_adj_em,off_efg_impact,def_efg_impact,off_tov_impact,def_tov_impact,off_orb_impact,def_reb_impact,off_ftr_impact,def_ftr_impact,efg_impact_margin,tov_impact_margin,reb_impact_margin,ftr_impact_margin,four_factor_impact_index,baseline_obpr,baseline_dbpr,obpr_source,dbpr_source,bpr_source,bpr_model_version,bpr_last_updated,updated_at,mv_bpr,mv_minutes_share,mv_marginal_em,mv_marginal_wins,mv_value_low,mv_value_high,mv_pipeline_version,mv_constants_hash,mv_computed_at,proj_recruitment_type,projected_obpr,projected_dbpr,projected_bpr,projected_minutes_share,projection_uncertainty,proj_n_prior_seasons,proj_prior_rapm_used,proj_recruiting_prior_used,proj_classification_reason,projection_version,proj_computed_at,proj_role_bucket,proj_minutes_share_p2,proj_mpg_p2,proj_rotation_rank,proj_minutes_overridden
449,5242644,AJ McBride,G,35,201,Niagara,MAAC,6,4.5,1.5,0.67,0.17,0.33,0.17,0.33,0.17,0.6667,0.0,0.625,0.5,0.17,0.83,1.33,0.0,0.67,0.6667,0.6902,0.5,,,,,,,,,,264.5,7.17,7.67,-0.5,65.03,69.57,-4.54,45.71,8.77,27.27,42.86,50.0,10.62,70.0,17.95,-4.29,1.85,-2.73,24.91,56.29,,,,,,,,,,,,0.0,0.0,4.0,3.0,39.64,42.47,109.53,109.72,39.6,40.08,108.59,114.77,109.53,109.72,-0.19,-0.0191,-0.0496,0.1182,-0.0216,-0.2385,0.324,0.4799,0.1779,-0.0687,0.0966,0.0855,0.6578,,,,,,,1.7,2026-07-05 20:58:29.289368+00:00,2026-04-30 04:35:10.664035+00:00,,,,,,,,,,newcomer,0.6,0.6,1.2,0.2596,1.0,0,False,False,no_prior_season,1.1,2026-04-16 21:45:50.526774+00:00,G,0.438729,17.5492,5,False
7977,5314360,Brian Griffith,G,15,201,Niagara,MAAC,25,13.64,5.28,1.12,1.48,0.52,0.0,1.28,0.76,0.3675,0.2955,0.7857,4.68,1.76,1.32,1.68,0.24,0.88,0.4231,0.4872,1.16,,,,,,,,,,818.24,23.76,25.16,-1.4,69.69,73.8,-4.11,51.0,17.04,27.34,35.25,52.74,15.58,63.4,36.76,-1.74,-1.46,-9.26,-1.51,49.62,2.07,4.62,6.69,-3.2703,-0.7042,-2.5661,-3.4196,-1.5395,-1.8801,,,-1.5395,-1.8801,2.3506,2.2511,547.93,529.84,106.63,118.82,554.96,531.92,107.03,118.25,106.63,118.82,-12.19,0.1309,-0.4009,-0.0753,0.2994,0.2456,-0.1476,1.1701,0.0862,-0.27,0.2241,0.098,1.2563,47.94,2.423,-2.8727,rapm,rapm,rapm,1.7,2026-07-05 20:58:29.289368+00:00,2026-04-30 04:35:16.307914+00:00,-3.2703,0.341,-0.6535203620000001,-0.658095004534,-126955.88766209988,-171763.8480134292,6.2,270fe4a012b4,2026-07-17 23:18:55.611628+00:00,,,,,,,,,,,,,,,,,
451,5242641,Damondre McKnight,G,6,201,Niagara,MAAC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,newcomer,0.2045,-0.0385,0.166,0.2201,0.9682,0,False,False,no_prior_season,1.1,2026-04-16 21:45:50.533432+00:00,G,0.365521,14.6209,10,False
7972,5314361,Drew Larson,F,22,201,Niagara,MAAC,22,10.18,3.14,2.23,0.59,0.32,0.05,0.36,1.0,0.4615,0.3214,0.5714,2.36,1.27,0.55,0.95,0.82,1.41,0.5481,0.5634,1.62,,,,,,,,,,615.18,14.73,18.82,-4.09,57.46,73.42,-15.96,43.29,18.29,30.5,28.19,54.92,15.46,67.86,33.9,-11.63,-2.83,-1.64,-5.71,42.66,-4.85,3.6,-1.25,-3.4297,-1.7965,-1.6332,-2.1401,-0.596,-1.5441,,,-0.596,-1.5441,2.3506,2.2511,354.45,348.31,99.24,117.02,348.96,347.0,92.85,119.31,99.24,117.02,-17.78,-0.4889,-0.2613,-0.2134,0.0892,0.8879,0.1768,-0.5545,0.4742,-0.7502,-0.1242,1.0647,-0.0803,39.37,-3.3747,-1.0552,rapm,rapm,rapm,1.7,2026-07-05 20:58:29.289368+00:00,2026-04-30 04:35:16.301191+00:00,-3.4297,0.2545,-0.5339784115,-0.5377162603805,-103733.11554809754,-140344.80338860254,6.2,270fe4a012b4,2026-07-17 23:18:55.604258+00:00,,,,,,,,,,,,,,,,,
10900,5314359,Gael Dalmau,G,9,201,Niagara,MAAC,8,6.75,1.75,0.5,0.25,0.12,0.12,0.38,0.25,0.2941,0.2667,,2.12,1.88,0.0,0.0,0.12,0.38,0.4118,0.4118,0.67,,,,,,,,,,412.75,13.5,11.38,2.12,78.5,66.14,12.36,56.49,12.87,41.46,32.47,51.56,18.48,71.43,39.06,4.93,5.61,12.89,-6.59,68.18,-0.43,1.34,0.91,,,,,,,,,0.0,0.0,4.0,3.0,83.62,82.1,114.61,111.02,84.0,82.0,128.57,110.98,114.61,111.02,3.59,0.0792,0.0104,0.1448,0.1594,0.0759,0.0567,0.0758,0.1177,0.0896,0.3042,0.1326,0.1935,,,,,,,1.7,2026-07-05 20:58:29.289368+00:00,2026-04-30 04:35:20.420509+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,
447,5108851,James Henderson Jr.,C,33,201,Niagara,MAAC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,transfer,0.0059,0.0059,0.0117,0.0918,0.8,2,True,False,different_team_prior,1.1,2026-04-16 21:45:50.526709+00:00,Big,0.37326,14.9304,9,False
443,4703388,Jhaylon Martinez,C,12,201,Niagara,MAAC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,transfer,-0.3228,-0.0068,-0.3295,0.5159,0.6,3,True,False,different_team_prior,1.1,2026-04-16 21:45:50.424943+00:00,Big,0.275715,11.0286,11,False
7979,5106680,Josiah Sabino,G,2,201,Niagara,MAAC,28,20.96,7.07,4.61,0.89,0.79,0.46,1.25,2.14,0.4533,0.2449,0.9091,5.36,1.75,1.79,1.96,0.89,3.71,0.4933,0.5683,0.71,,,,,,,,,,1255.21,32.46,36.61,-4.14,62.07,69.99,-7.92,48.66,17.89,26.05,28.69,50.38,14.52,65.62,34.83,-1.72,-3.37,-8.33,-6.14,47.67,-3.79,8.57,4.78,-2.5078,-1.6757,-0.8321,-0.9315,-0.2031,-0.7284,,,-0.2031,-0.7284,2.3506,2.2511,877.53,855.03,100.32,117.82,905.16,889.68,100.42,115.21,100.32,117.82,-17.5,-0.4454,0.032,-0.3723,-0.1014,-0.4418,-1.4669,0.2931,0.8832,-0.4134,-0.4737,-1.9087,1.1763,32.35,-3.0699,-0.7855,rapm,rapm,rapm,1.7,2026-07-05 20:58:29.289368+00:00,2026-04-30 04:35:16.310587+00:00,-2.5078,0.524,-0.776168188,-0.7816013653159999,-150782.0215135448,-203999.20557714882,6.2,270fe4a012b4,2026-07-17 23:18:55.616990+00:00,,,,,,,,,,,,,,,,,
441,5107372,Justice Smith,F,12,201,Niagara,MAAC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,transfer,0.2478,0.0981,0.3459,0.5908,0.746,2,False,False,different_team_prior,1.1,2026-04-16 21:45:50.424879+00:00,Wing,0.45177,18.0708,2,False
7973,5314356,Justin Hawkins,F,0,201,Niagara,MAAC,30,26.2,8.27,3.27,2.3,0.67,0.27,1.53,2.27,0.4412,0.359,0.6923,6.8,1.3,1.8,2.6,1.0,2.27,0.4755,0.5203,1.5,,,,,,,,,,1538.07,40.33,44.07,-3.73,62.94,68.76,-5.82,52.17,16.97,23.52,26.11,51.81,14.75,68.03,33.99,0.36,-2.22,-8.45,-7.88,50.06,-3.81,9.68,5.87,-0.3366,-0.0312,-0.3054,-0.8109,0.0595,-0.8704,,,0.0595,-0.8704,2.3506,2.2511,1184.47,1174.88,101.18,114.57,1192.96,1181.68,101.43,111.87,101.18,114.57,-13.38,0.7205,-0.3285,-0.2252,0.0572,-2.6776,0.7264,-0.7057,0.6966,0.392,-0.168,-1.9512,-0.0091,44.74,0.8074,0.4234,rapm,rapm,rapm,1.7,2026-07-05 20:58:29.289368+00:00,2026-04-30 04:35:16.302545+00:00,-0.3366,0.655,0.043799850000000085,0.04410644895000008,8508.76140905436,11511.853671073543,6.2,270fe4a012b4,2026-07-17 23:18:55.554248+00:00,,,,,,,,,,,,,,,,,
