player_name,RAPTOR_O,RAPTOR_D,RAPTOR_total,RAPTOR_WAR,RAPTOR_season,minutes_raptor
Isaiah Joe,-1.225805426966218,0.7418205049634834,-0.4839849220027352,0.7212946934463327,2022.0,624
Isaiah Livers,-0.5559707528825918,-1.199747092832923,-1.755717845715515,0.193606672906283,2022.0,383
Isaiah Roby,-0.854444596439599,-1.311908298130346,-2.166352894569945,0.2832315635260893,2022.0,948
Isaiah Stewart,-3.13776458211643,0.8339069343126411,-2.303857647803789,0.4110630973677756,2022.0,1816
Isaiah Thomas,-0.3990148548644902,-1.650599497454309,-2.049614352318799,0.1417613466191624,2022.0,333
Ish Smith,-2.218317627920603,-1.9813709417325,-4.199688569653103,-0.814805095556649,2022.0,1126
Ish Wainright,-1.771420714349911,1.332316448150129,-0.4391042661997817,0.4544127534981586,2022.0,385
Ivica Zubac,-0.6937649547898227,0.7233584622228239,0.0295935074330012,2.626958110405754,2022.0,1852
JT Thor,-3.004718159455292,-1.411621534613065,-4.416339694068357,-0.2227818242395402,2022.0,262
Ja Morant,4.981662827335163,-1.045587475628249,3.936075351706913,7.701920415751063,2022.0,2227
JaMychal Green,-2.207507806982098,-0.2886887255575791,-2.496196532539677,0.1528537349165692,2022.0,1154
JaVale McGee,0.0006131137789987,1.819841661813586,1.820454775592585,3.055057154553711,2022.0,1305
Jaden McDaniels,-2.259979487099824,1.946144605027162,-0.3138348820726621,2.430457531113515,2022.0,1933
Jae Crowder,-0.4004147107190295,1.579044141657024,1.178629430937995,4.546936802261867,2022.0,2269
Jae'Sean Tate,-1.305333948558302,0.7757554870268053,-0.5295784615314965,2.337336442090229,2022.0,2056
Jake Layman,-3.55672535658294,0.0557273955770818,-3.500997961005858,-0.0888938414980108,2022.0,231
Jakob Poeltl,1.639777671270009,2.39028084557149,4.030058516841499,6.796565524912898,2022.0,1970
Jalen Brunson,2.659996012287521,-0.5444135783080295,2.115582433979491,7.788182180376651,2022.0,3153
Jalen Green,-1.538791420617653,-2.72707225691195,-4.265863677529603,-1.664680952321303,2022.0,2138
Jalen McDaniels,-1.017066796593088,0.5799010633174282,-0.43716573327566,1.052512717789506,2022.0,895
Jalen Smith,-0.472717292460941,-0.5416143223333845,-1.014331614794325,0.8184168863976422,2022.0,925
Jalen Suggs,-4.157846232778498,2.826072657876266,-1.331773574902232,0.9588252845828404,2022.0,1307
James Bouknight,-2.389069415210727,-4.973059238024391,-7.362128653235118,-0.7159167472828181,2022.0,304
James Harden,3.522769700548162,-1.456575731354306,2.066193969193855,7.227443906860888,2022.0,2898
