player_name,player_id,prior_team,current_team,row_type,move_created,skip_reason
Tony Bradley,1628396,indiana-pacers,atlanta-hawks,acquisition,True,
Dalen Terry,1631207,chicago-bulls,philadelphia-76ers,acquisition,True,
AJ Johnson,1642358,washington-wizards,dallas-mavericks,acquisition,True,
Chris Youngblood,1642959,oklahoma-city-thunder,portland-trail-blazers,acquisition,True,
Xavier Tillman,1630214,boston-celtics,charlotte-hornets,acquisition,True,
Keshon Gilbert,1642933,,atlanta-hawks,acquisition,True,
Max Shulga,1642917,,boston-celtics,acquisition,True,
Dalano Banton,1630625,,boston-celtics,acquisition,True,
Tosan Evbuomwan,1641787,,charlotte-hornets,acquisition,True,
Mouhamadou Gueye,1631338,,chicago-bulls,acquisition,True,
Noa Essengue,1642855,,chicago-bulls,acquisition,True,
Olivier Sarr,1630846,,cleveland-cavaliers,acquisition,True,
Dereck Lively II,1641726,,dallas-mavericks,acquisition,True,
Kyrie Irving,202681,,dallas-mavericks,acquisition,True,
Isaac Jones,1642403,,detroit-pistons,acquisition,True,
Charles Bassey,1629646,,golden-state-warriors,acquisition,True,
Fred VanVleet,1627832,,houston-rockets,acquisition,True,
Tristen Newton,1641803,,houston-rockets,acquisition,True,
Tyrese Haliburton,1630169,,indiana-pacers,acquisition,True,
Norchad Omier,1641807,,los-angeles-clippers,acquisition,True,
Sean Pedulla,1642951,,los-angeles-clippers,acquisition,True,
Bradley Beal,203078,,los-angeles-clippers,acquisition,True,
Trevor Keels,1631211,,miami-heat,acquisition,True,
Jahmir Young,1642443,,miami-heat,acquisition,True,
Vladislav Goldin,1642884,,miami-heat,acquisition,True,
Alex Antetokounmpo,1630828,,milwaukee-bucks,acquisition,True,
Thanasis Antetokounmpo,203648,,milwaukee-bucks,acquisition,True,
Zyon Pullin,1642389,,minnesota-timberwolves,acquisition,True,
Rocco Zikarsky,1642911,,minnesota-timberwolves,acquisition,True,
Josh Oduro,1642490,,new-orleans-pelicans,acquisition,True,
Hunter Dickinson,1630621,,new-orleans-pelicans,acquisition,True,
Pacôme Dadiet,1642359,,new-york-knicks,acquisition,True,
Thomas Sorber,1642850,,oklahoma-city-thunder,acquisition,True,
Colin Castleton,1630658,,orlando-magic,acquisition,True,
Johni Broome,1641780,,philadelphia-76ers,acquisition,True,
Jayson Kent,1643257,,portland-trail-blazers,acquisition,True,
Damian Lillard,203081,,portland-trail-blazers,acquisition,True,
Isaiah Stevens,1641815,,sacramento-kings,acquisition,True,
Emanuel Miller,1641801,,san-antonio-spurs,acquisition,True,
Harrison Ingram,1631127,,san-antonio-spurs,acquisition,True,
Garrett Temple,202066,,toronto-raptors,acquisition,True,
Chucky Hepburn,1642935,,toronto-raptors,acquisition,True,
Hayden Gray,1643060,,utah-jazz,acquisition,True,
Walker Kessler,1631117,,utah-jazz,acquisition,True,
