date,year,month,day,rank,team_name,team_name_normalized,conference,games,record,adj_oe,adj_de,barthag,adj_tempo,wab,efg_pct,efg_pct_d,tor,tord,orb,drb,ftr,ftrd,two_p_pct,two_p_pct_d,three_p_pct,three_p_pct_d,three_pr,three_prd
2026-02-16,2026,2,16,215,Detroit Mercy,Detroit Mercy,Horz,25.0,12-13,108.2171,112.3254,0.3955215,69.19,-8.823,48.9281,52.624,16.415,14.034,34.17,30.7174,31.3273,38.4264,47.5314,54.7293,34.6134,33.2139,31.7335,43.8312
2026-02-16,2026,2,16,216,Colgate,Colgate,Pat,27.0,16-11,107.619,111.8246,0.3921216,66.9209,-6.7171,53.582,51.2171,15.269,16.2219,27.2295,29.6126,29.4322,34.7169,53.5109,52.2209,35.871,33.1136,34.2292,41.2239
2026-02-16,2026,2,16,217,Elon,Elon,CAA,27.0,14-13,111.9118,116.4311,0.3890217,66.9204,-9.0235,53.679,53.7275,15.585,16.2219,32.7107,33.4303,34.0216,35.1182,54.383,52.7225,35.111,36.7323,43.011,45.2335
2026-02-16,2026,2,16,218,Lamar,Lamar,Slnd,26.0,12-14,106.1228,110.5214,0.3859218,65.1298,-9.7248,48.7287,51.2171,17.8242,17.016,35.544,28.687,28.7331,45.4347,47.1322,49.177,34.6134,36.5318,33.8298,36.789
2026-02-16,2026,2,16,219,Denver,Denver,Sum,28.0,13-15,115.178,119.9346,0.3855219,68.1134,-9.4243,53.775,55.6335,14.637,12.636,30.3193,33.1296,32.6254,34.4159,52.8138,56.1323,36.837,36.632,38.4208,37.0101
2026-02-16,2026,2,16,220,Bethune Cookman,Bethune Cookman,SWAC,25.0,13-12,102.5281,106.8132,0.383322,68.3127,-5.9147,50.1227,49.8103,19.1314,16.0237,29.6217,31.3199,39.574,39.3279,49.9247,50.9143,33.6198,31.864,31.134,33.52
2026-02-16,2026,2,16,221,Rice,Rice,Amer,26.0,11-15,109.6158,114.2287,0.3831221,65.3288,-10.4258,48.33,51.6193,17.8242,16.1229,35.837,35.1332,34.9192,40.2298,45.635,51.2157,34.6134,34.9227,42.4125,34.433
2026-02-16,2026,2,16,222,Eastern Michigan,Eastern Michigan,MAC,26.0,9-17,103.6263,108.0162,0.3817222,65.826,-11.6287,50.0233,50.3126,17.2196,16.2219,28.326,29.7132,28.9329,35.3186,49.9247,50.1111,33.321,33.8169,32.5325,35.967
2026-02-16,2026,2,16,223,Drake,Drake,MVC,28.0,12-16,109.9149,114.7292,0.3785223,67.1192,-11.0274,51.816,53.3266,14.534,14.6317,26.3317,29.211,34.7197,33.9145,51.3198,51.5172,34.9117,37.1334,44.873,43.2297
2026-02-16,2026,2,16,224,James Madison,James Madison,SB,27.0,14-13,109.0162,113.8276,0.3779224,65.4282,-8.9233,52.7119,49.694,17.4211,13.1353,30.718,30.9183,35.3182,41.832,51.7183,49.073,36.065,33.7165,45.262,38.7155
2026-02-16,2026,2,16,225,Ohio,Ohio,MAC,26.0,13-13,107.0207,111.8244,0.3758225,69.187,-8.4221,51.2186,52.8247,16.415,17.016,28.7246,33.1296,36.5155,37.6247,55.459,51.4164,29.6341,37.0333,38.1216,33.621
2026-02-16,2026,2,16,226,Saint Peter's,Saint Peter's,MAAC,24.0,15-9,104.525,109.5195,0.3694226,65.6268,-6.015,46.0345,49.075,16.9181,20.322,37.315,33.6308,37.7119,47.9359,46.2337,48.358,30.4328,33.415,39.1192,36.687
2026-02-16,2026,2,16,227,Texas St.,Texas St.,SB,28.0,17-11,104.3255,109.2189,0.3694227,66.2244,-8.3216,50.1227,51.72,18.83,18.686,34.071,28.479,33.2234,37.9256,50.7219,50.7133,32.1268,35.6269,24.8365,37.9128
2026-02-16,2026,2,16,228,Nebraska Omaha,Nebraska Omaha,Sum,28.0,14-14,107.8182,113.0266,0.3682228,67.4178,-10.1253,53.392,53.0255,16.5158,14.3328,26.6308,29.6126,35.1185,33.8141,53.796,56.1323,35.111,32.8117,40.7157,45.033
2026-02-16,2026,2,16,229,Howard,Howard,MEAC,26.0,16-10,100.5315,105.5113,0.3644229,68.8105,-7.2183,48.5293,48.352,20.0341,21.71,35.249,32.628,41.943,40.4301,47.7311,48.561,33.5203,32.175,33.9295,35.354
2026-02-16,2026,2,16,230,LIU,LIU,NEC,26.0,17-9,102.2288,107.3144,0.363823,68.1138,-5.0117,51.6171,49.694,19.8336,18.781,35.544,32.2262,32.7251,35.0176,51.4192,51.3161,34.7128,30.938,29.1355,33.825
2026-02-16,2026,2,16,231,Tennessee Martin,Tennessee Martin,OVC,27.0,20-7,101.8296,106.9134,0.3627231,64.632,-4.6108,50.8198,46.114,21.9358,19.448,38.011,31.9235,41.449,36.9229,53.6101,47.232,31.7287,29.715,47.527,40.2194
2026-02-16,2026,2,16,232,San Jose St.,San Jose St.,MWC,25.0,6-19,109.6157,115.33,0.3595232,64.133,-11.3282,48.2303,57.2356,16.2132,17.911,29.4225,36.7353,33.2234,34.3157,45.4352,59.536,35.111,35.9283,38.3212,39.9182
2026-02-16,2026,2,16,233,Coastal Carolina,Coastal Carolina,SB,27.0,16-11,102.2289,107.5152,0.3585233,67.1195,-7.5192,48.2303,46.418,15.691,12.636,26.3317,27.652,31.0287,36.2208,45.635,45.19,34.5143,32.596,42.5122,36.276
2026-02-16,2026,2,16,234,Cal Poly,Cal Poly,BW,27.0,11-16,107.9178,113.8277,0.3510234,73.53,-10.8268,51.9152,54.53,21.1353,16.7185,30.5186,30.4163,36.6151,33.5129,53.2123,54.9298,33.819,36.0293,53.33,42.3275
2026-02-16,2026,2,16,235,UMBC,UMBC,AE,24.0,16-8,105.4236,111.3233,0.3468235,65.9255,-5.5136,53.11,50.614,14.534,15.1289,23.4348,26.018,33.5228,26.615,54.191,50.8138,34.4151,33.415,38.7201,36.481
2026-02-16,2026,2,16,236,Samford,Samford,SC,27.0,15-12,107.7189,113.9278,0.3439236,66.5222,-8.2212,51.816,51.6193,13.06,13.1353,25.4336,26.426,44.217,33.4127,52.4151,50.5121,34.117,35.7276,45.65,35.354
2026-02-16,2026,2,16,237,Radford,Radford,BSth,27.0,14-13,107.2199,113.4272,0.3436237,71.125,-9.1236,51.7165,53.3266,17.2196,18.491,29.7214,32.1255,41.745,42.6328,53.3117,53.1238,33.222,35.7276,45.746,39.8181
