rank,player_name,position,position_group,confidence_tier,college,draft_age,bpm_college,ts_pct,per,dbpm,obpm,ws_40,fg_pct,stl_pg,blk_pg,orb_pct,ast_pct,pts_pg,trb_pg,ast_pg,program_srs,mps_composite,srs_adj,games_played,games_played_pct,avail_modifier,age_penalty,height_floor_pen,combine_penalty,scout_adj,editorial_bump,mps,grade,tankathon_rank,withdrew,note,comp1_name,comp1_year,comp1_pick,comp1_sim,comp2_name,comp2_year,comp2_pick,comp2_sim
62,Sergio De Larrea,C,big,medium,International,21.47,,0.604,18.4,,,,0.449,0.5,0.2,,,7.0,2.0,2.9,,36.6,0.0,60.0,,0.0,0.0,0.0,0.0,,,36.6,D,34.0,False,"INTL PARTIAL — 8 features (medium), no CBB data; treat as directional; International (Joventut Badalona, Spain) — BPM unavailable; MPS based on available box stats only. Likely underrated.; Model #62 vs Tankathon #34 (28 spots above consensus)",Darius Miller,2012.0,46.0,96.0,Kai Jones,2021.0,19.0,94.0
63,Darrion Williams,SF,wing,full,NC State,23.31,5.2,0.533,16.6,1.2,4.0,0.109,0.414,1.1,0.3,3.5,17.4,14.0,4.6,2.8,17.43,38.9,2.5,33.0,1.0,0.0,-6.3,0.0,0.0,0.0,0.0,35.1,D,71.0,False,Age penalty -6.3 (23.3y); Wing position: 50/50 weight blend (guard/big) — physical projection not fully captured in model,Svi Mykhailiuk,2018.0,47.0,97.0,Khris Middleton,2012.0,39.0,96.0
64,Jack Kayil,PG,guard,medium,International,20.36,,0.527,16.6,,,,0.379,1.0,0.2,,,12.1,2.9,3.7,,32.2,0.0,54.0,,0.0,2.0,0.0,0.0,,,34.2,D,111.0,False,"INTL PARTIAL — 8 features (medium), no CBB data; treat as directional; International (Alba Berlin, Germany) — BPM unavailable; scored on available stats.; Model #64 vs Tankathon #111 (47 spots below consensus)",TyTy Washington Jr.,2022.0,29.0,97.0,Marcus Paige,2016.0,55.0,97.0
65,Milos Uzan,PG,guard,full,Houston,23.31,6.4,0.493,13.3,3.8,2.6,0.135,0.38,1.0,0.1,1.2,21.3,11.1,2.7,4.0,26.24,36.2,3.7,37.0,1.121,0.0,-6.3,-5.0,0.0,1.6,0.0,30.2,D,53.0,False,"Age penalty -6.3 (23.3y); Height floor -5.0 (h=75.0"", WHR=1.027); Scout tier adj +1.6 (Tank #53); Model #65 vs Tankathon #53 (12 spots above consensus)",Cory Joseph,2011.0,29.0,96.0,DeAndre Liggins,2011.0,53.0,96.0
,Flory Bidunga,C,big,full,Kansas,21.2,10.7,0.647,24.4,5.6,5.1,0.203,0.64,0.7,2.6,11.2,9.7,13.3,9.0,1.5,20.42,63.5,2.9,35.0,1.061,0.0,0.0,0.0,0.0,0.0,0.0,66.4,D,80.0,True,WITHDREW — not in 2026 draft,Jordan Bell,2017.0,38.0,97.0,Bruno Fernando,2019.0,34.0,97.0
,Tyler Tanner,PG,guard,full,Vanderbilt,21.06,12.3,0.612,25.8,4.6,7.7,0.219,0.485,2.4,0.3,1.5,28.9,19.5,3.6,5.1,22.23,60.2,3.2,36.0,1.091,0.0,0.0,0.0,0.0,1.6,0.0,65.0,D,31.0,True,WITHDREW — not in 2026 draft; Scout tier adj +1.6 (Tank #31),Jared Butler,2021.0,40.0,97.0,Russ Smith,2014.0,47.0,97.0
,Rueben Chinyelu,C,big,full,Florida,21.06,8.6,0.61,24.1,4.0,4.6,0.214,0.584,0.8,1.0,17.4,4.5,10.9,11.2,0.7,27.74,59.2,4.0,35.0,1.061,0.0,0.0,0.0,0.0,0.0,0.0,63.2,D,90.0,True,WITHDREW — not in 2026 draft,Montrezl Harrell,2015.0,32.0,96.0,Ray Spalding,2018.0,56.0,96.0
,Jeremy Fears Jr.,PG,guard,full,Michigan State,21.31,11.6,0.576,22.9,4.3,7.3,0.229,0.431,1.3,0.0,1.6,53.0,15.2,2.4,9.4,32.92,56.2,4.7,35.0,1.061,0.0,0.0,0.0,0.0,1.6,0.0,62.5,D,59.0,True,WITHDREW — not in 2026 draft; Scout tier adj +1.6 (Tank #59),Trey Burke,2013.0,9.0,94.0,Monte Morris,2017.0,51.0,94.0
,Malachi Moreno,C,big,full,Kentucky,19.66,7.7,0.623,20.6,4.2,3.5,0.162,0.582,0.5,1.5,12.2,13.6,7.8,6.3,1.8,19.13,53.3,2.7,36.0,1.091,0.0,5.0,0.0,0.0,0.0,0.0,61.0,D,122.0,True,WITHDREW — not in 2026 draft; Youth bonus +5.0,Deyonta Davis,2016.0,31.0,97.0,Kai Jones,2021.0,19.0,97.0
,Milan Momcilovic,SF,wing,full,Iowa State,21.75,11.4,0.693,21.2,2.9,8.5,0.22,0.506,0.8,0.2,0.8,6.1,16.9,3.1,1.0,19.2,52.5,2.7,37.0,1.121,0.0,-0.9,0.0,0.0,1.6,0.0,56.0,D,43.0,True,WITHDREW — not in 2026 draft; Age penalty -0.9 (21.7y); Scout tier adj +1.6 (Tank #43); Wing position: 50/50 weight blend (guard/big) — physical projection not fully captured in model,Corey Kispert,2021.0,15.0,96.0,Jon Diebler,2011.0,51.0,96.0
,Cayden Boozer,PG,guard,full,Duke,18.76,6.6,0.592,15.2,4.3,2.4,0.166,0.5,0.8,0.1,2.4,22.2,7.7,2.3,3.0,30.15,44.4,4.3,38.0,1.152,0.0,7.0,0.0,0.0,0.0,0.0,55.7,D,83.0,True,WITHDREW — not in 2026 draft; Youth bonus +7.0,Dalen Terry,2022.0,18.0,96.0,Amari Bailey,2023.0,41.0,95.0
,Oscar Cluff,C,big,full,Purdue,24.58,11.2,0.694,26.5,3.6,7.7,0.23626943005181347,0.683,0.5,0.9,17.5,12.5,10.6,7.5,1.8,25.08,62.7,3.6,39.0,1.182,0.0,-10.8,0.0,0.0,0.0,0.0,55.5,D,,True,WITHDREW — not in 2026 draft; Age penalty -10.8 (24.6y),Erik Murphy,2013.0,49.0,96.0,Markieff Morris,2011.0,13.0,96.0
,Tounde Yessoufou,SF,wing,full,Baylor,20.11,6.1,0.55,21.4,1.7,4.4,0.148,0.465,2.0,0.6,8.7,9.3,17.8,5.9,1.6,14.99,47.1,2.1,34.0,1.03,0.0,2.0,0.0,0.0,3.6,0.0,54.8,D,20.0,True,WITHDREW — not in 2026 draft; Youth bonus +2.0; Scout tier adj +3.6 (Tank #20); Wing position: 50/50 weight blend (guard/big) — physical projection not fully captured in model,Justinian Jessup,2020.0,51.0,97.0,CJ Elleby,2020.0,46.0,96.0
,Amari Allen,SF,wing,full,Alabama,21.06,7.8,0.57,18.4,3.6,4.2,0.151,0.446,1.0,0.7,6.1,18.1,11.4,6.9,3.1,23.03,46.9,3.3,32.0,0.97,0.0,0.0,0.0,0.0,3.6,0.0,53.8,D,30.0,True,WITHDREW — not in 2026 draft; Scout tier adj +3.6 (Tank #30); Wing position: 50/50 weight blend (guard/big) — physical projection not fully captured in model,Chandler Parsons,2011.0,38.0,97.0,Solomon Hill,2013.0,23.0,97.0
,Boogie Fland,PG,guard,full,Florida,19.93,7.1,0.53,15.2,5.2,1.9,0.152,0.447,1.7,0.1,2.8,18.2,11.6,2.5,3.5,27.74,41.7,4.0,35.0,1.061,0.0,5.0,-5.0,0.0,0.0,0.0,45.7,D,97.0,True,"WITHDREW — not in 2026 draft; Youth bonus +5.0; Height floor -5.0 (h=75.2"", WHR=1.037)",Cory Joseph,2011.0,29.0,97.0,Jordan Poole,2019.0,28.0,97.0
,Andrej Stojakovic,SF,wing,full,Stanford,21.91,6.4,0.578,20.1,2.3,4.1,0.17,0.5,0.4,0.4,,,13.5,4.5,1.0,11.92,43.0,1.7,34.0,1.03,0.0,-1.4,0.0,0.0,1.6,0.0,44.8,D,42.0,True,WITHDREW — not in 2026 draft; Age penalty -1.4 (21.9y); Scout tier adj +1.6 (Tank #42); BPM from Tankathon (CBB unavailable — same scale confirmed); Wing position: 50/50 weight blend (guard/big) — physical projection not fully captured in model,Keldon Johnson,2019.0,29.0,97.0,Cassius Stanley,2020.0,54.0,97.0
,Billy Richmond III,SG,guard,full,Indiana,20.16,6.7,0.415,18.2,2.9,3.8,0.133,0.333,1.1,0.8,,20.0,5.0,4.3,1.8,3.82,32.0,0.5,6.0,0.182,-8.0,2.0,0.0,0.0,1.6,0.0,28.1,D,44.0,True,WITHDREW — not in 2026 draft; Availability: 18% GP (6/33g); Youth bonus +2.0; Scout tier adj +1.6 (Tank #44); BPM from Tankathon (CBB unavailable — same scale confirmed),Cory Joseph,2011.0,29.0,94.0,Lonnie Walker IV,2018.0,18.0,94.0
,Luigi Suigo,C,big,none,International,19.33,,,,,,,,,,,,,,,,,,,,0.0,7.0,,,,,,N/A,37.0,True,WITHDREW — not in 2026 draft; No college data,,,,,,,,
,Pavle Backo,C,big,none,International,18.86,,,,,,,,,,,,,,,,,,,,0.0,7.0,,,,,,N/A,61.0,True,WITHDREW — not in 2026 draft; No college data,,,,,,,,
